"gene","atlas","tissue","compartment","pct_cells_detected","n_cells","qualifying"
"TNFRSF1A","GSE125449","liver_biliary","epithelial",0.248222365869425,3094,TRUE
"TNFRSF1B","GSE125449","liver_biliary","epithelial",0.0332902391725921,3094,TRUE
"TNFRSF21","GSE125449","liver_biliary","epithelial",0.175177763413058,3094,TRUE
"ABCA1","GSE125449","liver_biliary","epithelial",0.103749191984486,3094,TRUE
"AKAP12","GSE125449","liver_biliary","epithelial",0.0966386554621849,3094,TRUE
"BCL2L1","GSE125449","liver_biliary","epithelial",0.290562378797673,3094,TRUE
"BCL6","GSE125449","liver_biliary","epithelial",0.0500969618616677,3094,TRUE
"CCND1","GSE125449","liver_biliary","epithelial",0.379767291531997,3094,TRUE
"CCND3","GSE125449","liver_biliary","epithelial",0.146735617323853,3094,TRUE
"CDK4","GSE125449","liver_biliary","epithelial",0.319004524886878,3094,TRUE
"CDKN1A","GSE125449","liver_biliary","epithelial",0.273755656108597,3094,TRUE
"CDKN1B","GSE125449","liver_biliary","epithelial",0.10989010989011,3094,TRUE
"CFLAR","GSE125449","liver_biliary","epithelial",0.322236586942469,3094,TRUE
"CISH","GSE125449","liver_biliary","epithelial",0.0345830639948287,3094,TRUE
"COPS5","GSE125449","liver_biliary","epithelial",0.227860374919198,3094,TRUE
"CXCL8","GSE125449","liver_biliary","epithelial",0.297026502908856,3094,TRUE
"DDIT3","GSE125449","liver_biliary","epithelial",0.338073691014868,3094,TRUE
"DNMT1","GSE125449","liver_biliary","epithelial",0.138655462184874,3094,TRUE
"EPAS1","GSE125449","liver_biliary","epithelial",0.159340659340659,3094,TRUE
"ESR2","GSE125449","liver_biliary","epithelial",0.00581771170006464,3094,TRUE
"ETV6","GSE125449","liver_biliary","epithelial",0.070458952811894,3094,TRUE
"FGG","GSE125449","liver_biliary","epithelial",0.373303167420814,3094,TRUE
"FGL1","GSE125449","liver_biliary","epithelial",0.319327731092437,3094,TRUE
"FOS","GSE125449","liver_biliary","epithelial",0.661926308985132,3094,TRUE
"GFAP","GSE125449","liver_biliary","epithelial",0.00420168067226891,3094,TRUE
"GREB1","GSE125449","liver_biliary","epithelial",0.0190691661279897,3094,TRUE
"HSPA4","GSE125449","liver_biliary","epithelial",0.24240465416936,3094,TRUE
"HSPB1","GSE125449","liver_biliary","epithelial",0.917259211376858,3094,TRUE
"ICAM1","GSE125449","liver_biliary","epithelial",0.187782805429864,3094,TRUE
"IKBKE","GSE125449","liver_biliary","epithelial",0.0552682611506141,3094,TRUE
"JAK2","GSE125449","liver_biliary","epithelial",0.0239172592113769,3094,TRUE
"JUNB","GSE125449","liver_biliary","epithelial",0.575307045895281,3094,TRUE
"KRT17","GSE125449","liver_biliary","epithelial",0.177763413057531,3094,TRUE
"LEP","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"LGALS3BP","GSE125449","liver_biliary","epithelial",0.431157078215902,3094,TRUE
"LTBP1","GSE125449","liver_biliary","epithelial",0.0552682611506141,3094,TRUE
"MCL1","GSE125449","liver_biliary","epithelial",0.517776341305753,3094,TRUE
"MDC1","GSE125449","liver_biliary","epithelial",0.0559146735617324,3094,TRUE
"MMP1","GSE125449","liver_biliary","epithelial",0.0394311570782159,3094,TRUE
"MMP7","GSE125449","liver_biliary","epithelial",0.195539754363284,3094,TRUE
"MUC1","GSE125449","liver_biliary","epithelial",0.406593406593407,3094,TRUE
"NME1","GSE125449","liver_biliary","epithelial",0.514544279250162,3094,TRUE
