"gene","atlas","tissue","compartment","fraction","n_cells","qualifying"
"TNFRSF1B","GSE125449","liver_biliary","epithelial",0.0632250580046404,3094,TRUE
"TNFRSF21","GSE125449","liver_biliary","epithelial",0.664290805416964,3094,TRUE
"ABCA1","GSE125449","liver_biliary","epithelial",0.458057395143488,3094,TRUE
"AKAP12","GSE125449","liver_biliary","epithelial",0.340227088402271,3094,TRUE
"BCL2L1","GSE125449","liver_biliary","epithelial",0.631473303894018,3094,TRUE
"BCL6","GSE125449","liver_biliary","epithelial",0.255813953488372,3094,TRUE
"CCND1","GSE125449","liver_biliary","epithelial",0.456212121212121,3094,TRUE
"CCND3","GSE125449","liver_biliary","epithelial",0.220962199312715,3094,TRUE
"CDK4","GSE125449","liver_biliary","epithelial",0.618535048569178,3094,TRUE
"CDKN1A","GSE125449","liver_biliary","epithelial",0.218433832456495,3094,TRUE
"CDKN1B","GSE125449","liver_biliary","epithelial",0.207766011094302,3094,TRUE
"CFLAR","GSE125449","liver_biliary","epithelial",0.37359128474831,3094,TRUE
"CISH","GSE125449","liver_biliary","epithelial",0.315136476426799,3094,TRUE
"COPS5","GSE125449","liver_biliary","epithelial",0.522851919561243,3094,TRUE
"CXCL8","GSE125449","liver_biliary","epithelial",0.599951641177537,3094,TRUE
"DDIT3","GSE125449","liver_biliary","epithelial",0.596046325878594,3094,TRUE
"DNMT1","GSE125449","liver_biliary","epithelial",0.299477930707167,3094,TRUE
"EPAS1","GSE125449","liver_biliary","epithelial",0.0909847434119279,3094,TRUE
"ESR2","GSE125449","liver_biliary","epithelial",0.180952380952381,3094,TRUE
"ETV6","GSE125449","liver_biliary","epithelial",0.314864864864865,3094,TRUE
"FGG","GSE125449","liver_biliary","epithelial",0.954657217240382,3094,TRUE
"FGL1","GSE125449","liver_biliary","epithelial",0.871517771373679,3094,TRUE
"FOS","GSE125449","liver_biliary","epithelial",0.184549220169914,3094,TRUE
"GFAP","GSE125449","liver_biliary","epithelial",0.65,3094,TRUE
"GREB1","GSE125449","liver_biliary","epithelial",0.711111111111111,3094,TRUE
"HSPA4","GSE125449","liver_biliary","epithelial",0.493645750595711,3094,TRUE
"HSPB1","GSE125449","liver_biliary","epithelial",0.478712207202559,3094,TRUE
"ICAM1","GSE125449","liver_biliary","epithelial",0.31626754748142,3094,TRUE
"IKBKE","GSE125449","liver_biliary","epithelial",0.47732181425486,3094,TRUE
"JAK2","GSE125449","liver_biliary","epithelial",0.29368029739777,3094,TRUE
"JUNB","GSE125449","liver_biliary","epithelial",0.0957529130732222,3094,TRUE
"KRT17","GSE125449","liver_biliary","epithelial",0.986564299424184,3094,TRUE
"LEP","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"LGALS3BP","GSE125449","liver_biliary","epithelial",0.647812971342383,3094,TRUE
"LTBP1","GSE125449","liver_biliary","epithelial",0.205623901581722,3094,TRUE
"MCL1","GSE125449","liver_biliary","epithelial",0.308281756557619,3094,TRUE
"MDC1","GSE125449","liver_biliary","epithelial",0.478260869565217,3094,TRUE
"MMP1","GSE125449","liver_biliary","epithelial",0.832,3094,TRUE
"MMP7","GSE125449","liver_biliary","epithelial",0.980885961513625,3094,TRUE
"MUC1","GSE125449","liver_biliary","epithelial",0.983526268922529,3094,TRUE
"NME1","GSE125449","liver_biliary","epithelial",0.690924183729939,3094,TRUE
"OAS1","GSE125449","liver_biliary","epithelial",0.458083832335329,3094,TRUE
"OPRM1","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"PAX3","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"PHB","GSE125449","liver_biliary","epithelial",0.625,3094,TRUE
"POU2F1","GSE125449","liver_biliary","epithelial",0.416539050535988,3094,TRUE
"PPARA","GSE125449","liver_biliary","epithelial",0.587671232876712,3094,TRUE
"PRDM1","GSE125449","liver_biliary","epithelial",0.026410998552822,3094,TRUE
"PROS1","GSE125449","liver_biliary","epithelial",0.574794520547945,3094,TRUE
"PSMB5","GSE125449","liver_biliary","epithelial",0.601697312588402,3094,TRUE
"PTGS2","GSE125449","liver_biliary","epithelial",0.109936575052854,3094,TRUE
"PTPN6","GSE125449","liver_biliary","epithelial",0.191769547325103,3094,TRUE
"ROR1","GSE125449","liver_biliary","epithelial",0.774509803921569,3094,TRUE
"S100A11","GSE125449","liver_biliary","epithelial",0.687152955133381,3094,TRUE
"S1PR1","GSE125449","liver_biliary","epithelial",0.0199203187250996,3094,TRUE
"SALL4","GSE125449","liver_biliary","epithelial",0.863636363636364,3094,TRUE
"SHH","GSE125449","liver_biliary","epithelial",0.970059880239521,3094,TRUE
"STK11","GSE125449","liver_biliary","epithelial",0.464190981432361,3094,TRUE
"TIMP1","GSE125449","liver_biliary","epithelial",0.291854261548471,3094,TRUE
"TNFRSF10B","GSE125449","liver_biliary","epithelial",0.520361990950226,3094,TRUE
"TP53","GSE125449","liver_biliary","epithelial",0.389306599832916,3094,TRUE
"TP63","GSE125449","liver_biliary","epithelial",0.470588235294118,3094,TRUE
"VDR","GSE125449","liver_biliary","epithelial",0.296153846153846,3094,TRUE
"VEGFA","GSE125449","liver_biliary","epithelial",0.881262868908717,3094,TRUE
"VEGFB","GSE125449","liver_biliary","epithelial",0.61090458488228,3094,TRUE
"ZFP36","GSE125449","liver_biliary","epithelial",0.108298292285248,3094,TRUE
"A2M","GSE125449","liver_biliary","epithelial",0.187052157973671,3094,TRUE
"HMOX1","GSE125449","liver_biliary","epithelial",0.252358490566038,3094,TRUE
"IFNAR1","GSE125449","liver_biliary","epithelial",0.364229765013055,3094,TRUE
"IRF1","GSE125449","liver_biliary","epithelial",0.134338085539715,3094,TRUE
"MYD88","GSE125449","liver_biliary","epithelial",0.400527009222661,3094,TRUE
"PIM1","GSE125449","liver_biliary","epithelial",0.13878842676311,3094,TRUE
"STAT1","GSE125449","liver_biliary","epithelial",0.455841584158416,3094,TRUE
"TYK2","GSE125449","liver_biliary","epithelial",0.383128295254833,3094,TRUE
"BCL2","GSE125449","liver_biliary","epithelial",0.227544910179641,3094,FALSE
"MMP9","GSE125449","liver_biliary","epithelial",0.0913173652694611,3094,FALSE
"HGF","GSE125449","liver_biliary","epithelial",0.109433962264151,3094,FALSE
"MYC","GSE125449","liver_biliary","fibroblast_stromal",0.26378896882494,981,TRUE
"IL6","GSE125449","liver_biliary","fibroblast_stromal",0.424552429667519,981,TRUE
"SOCS3","GSE125449","liver_biliary","fibroblast_stromal",0.144778732887615,981,TRUE
"ACVR1B","GSE125449","liver_biliary","fibroblast_stromal",0.137254901960784,981,TRUE
"ACVRL1","GSE125449","liver_biliary","fibroblast_stromal",0.0810210876803552,981,TRUE
"BAK1","GSE125449","liver_biliary","fibroblast_stromal",0.0809128630705394,981,TRUE
"CBL","GSE125449","liver_biliary","fibroblast_stromal",0.109195402298851,981,TRUE
"CCL7","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"CCR1","GSE125449","liver_biliary","fibroblast_stromal",0.0102040816326531,981,TRUE
"CD14","GSE125449","liver_biliary","fibroblast_stromal",0.0188837599664289,981,TRUE
"CD36","GSE125449","liver_biliary","fibroblast_stromal",0.434603028912345,981,TRUE
"CD38","GSE125449","liver_biliary","fibroblast_stromal",0.0108423686405338,981,TRUE
"CD44","GSE125449","liver_biliary","fibroblast_stromal",0.0732753020657399,981,TRUE
"CD9","GSE125449","liver_biliary","fibroblast_stromal",0.174145299145299,981,TRUE
"CNTFR","GSE125449","liver_biliary","fibroblast_stromal",0.4,981,TRUE
"CRLF2","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"CSF1","GSE125449","liver_biliary","fibroblast_stromal",0.212121212121212,981,TRUE
"CSF2","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"CSF2RA","GSE125449","liver_biliary","fibroblast_stromal",0.00888324873096447,981,TRUE
"CSF2RB","GSE125449","liver_biliary","fibroblast_stromal",0.00623052959501558,981,TRUE
"CSF3R","GSE125449","liver_biliary","fibroblast_stromal",0.0173160173160173,981,TRUE
"CXCL1","GSE125449","liver_biliary","fibroblast_stromal",0.0199762993059082,981,TRUE
"CXCL10","GSE125449","liver_biliary","fibroblast_stromal",0.108872530027121,981,TRUE
"CXCL11","GSE125449","liver_biliary","fibroblast_stromal",0.0592255125284738,981,TRUE
"CXCL13","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"CXCL3","GSE125449","liver_biliary","fibroblast_stromal",0.0182882223847842,981,TRUE
"CXCL9","GSE125449","liver_biliary","fibroblast_stromal",0.145655877342419,981,TRUE
"DNTT","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"EBI3","GSE125449","liver_biliary","fibroblast_stromal",0.0132450331125828,981,TRUE
"FAS","GSE125449","liver_biliary","fibroblast_stromal",0.307692307692308,981,TRUE
"GRB2","GSE125449","liver_biliary","fibroblast_stromal",0.0526622054116963,981,TRUE
"HAX1","GSE125449","liver_biliary","fibroblast_stromal",0.0807108478341355,981,TRUE
"IFNGR1","GSE125449","liver_biliary","fibroblast_stromal",0.0793237971391417,981,TRUE
"IFNGR2","GSE125449","liver_biliary","fibroblast_stromal",0.0958408679927667,981,TRUE
"IL10RB","GSE125449","liver_biliary","fibroblast_stromal",0.0809968847352025,981,TRUE
"IL12RB1","GSE125449","liver_biliary","fibroblast_stromal",0.0440414507772021,981,TRUE
"IL13RA1","GSE125449","liver_biliary","fibroblast_stromal",0.0872771972956361,981,TRUE
"IL15RA","GSE125449","liver_biliary","fibroblast_stromal",0.116630669546436,981,TRUE
"IL17RA","GSE125449","liver_biliary","fibroblast_stromal",0.106498194945848,981,TRUE
"IL17RB","GSE125449","liver_biliary","fibroblast_stromal",0.00727272727272727,981,TRUE
"IL18R1","GSE125449","liver_biliary","fibroblast_stromal",0.0571428571428571,981,TRUE
"IL1B","GSE125449","liver_biliary","fibroblast_stromal",0.00198807157057654,981,TRUE
"IL1R1","GSE125449","liver_biliary","fibroblast_stromal",0.264994547437296,981,TRUE
"IL1R2","GSE125449","liver_biliary","fibroblast_stromal",0.016260162601626,981,TRUE
"IL2RA","GSE125449","liver_biliary","fibroblast_stromal",0.00705882352941176,981,TRUE
"IL2RG","GSE125449","liver_biliary","fibroblast_stromal",0.00484848484848485,981,TRUE
"IL3RA","GSE125449","liver_biliary","fibroblast_stromal",0.0117762512266928,981,TRUE
"IL4R","GSE125449","liver_biliary","fibroblast_stromal",0.0939420544337138,981,TRUE
"IL6ST","GSE125449","liver_biliary","fibroblast_stromal",0.120210641002361,981,TRUE
"IL7","GSE125449","liver_biliary","fibroblast_stromal",0.214723926380368,981,TRUE
"IL9R","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"INHBE","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"IRF9","GSE125449","liver_biliary","fibroblast_stromal",0.0795053003533569,981,TRUE
"ITGA4","GSE125449","liver_biliary","fibroblast_stromal",0.077683615819209,981,TRUE
"ITGB3","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"JUN","GSE125449","liver_biliary","fibroblast_stromal",0.239013565456299,981,TRUE
"LEPR","GSE125449","liver_biliary","fibroblast_stromal",0.027823240589198,981,TRUE
"LTB","GSE125449","liver_biliary","fibroblast_stromal",0.00616612259702575,981,TRUE
"LTBR","GSE125449","liver_biliary","fibroblast_stromal",0.137623297322687,981,TRUE
"MAP3K8","GSE125449","liver_biliary","fibroblast_stromal",0.054380664652568,981,TRUE
"OSMR","GSE125449","liver_biliary","fibroblast_stromal",0.176632934682613,981,TRUE
"PDGFC","GSE125449","liver_biliary","fibroblast_stromal",0.188796680497925,981,TRUE
"PF4","GSE125449","liver_biliary","fibroblast_stromal",0.015625,981,TRUE
"PIK3R5","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"PLA2G2A","GSE125449","liver_biliary","fibroblast_stromal",0.0630279402209227,981,TRUE
"PTPN1","GSE125449","liver_biliary","fibroblast_stromal",0.073367995378394,981,TRUE
"PTPN11","GSE125449","liver_biliary","fibroblast_stromal",0.0758620689655172,981,TRUE
"PTPN2","GSE125449","liver_biliary","fibroblast_stromal",0.0842572062084257,981,TRUE
"REG1A","GSE125449","liver_biliary","fibroblast_stromal",0.00252182347235694,981,TRUE
"SOCS1","GSE125449","liver_biliary","fibroblast_stromal",0.0537164272329794,981,TRUE
"STAM2","GSE125449","liver_biliary","fibroblast_stromal",0.0918918918918919,981,TRUE
"STAT2","GSE125449","liver_biliary","fibroblast_stromal",0.134003350083752,981,TRUE
"STAT3","GSE125449","liver_biliary","fibroblast_stromal",0.130191166776533,981,TRUE
"TGFB1","GSE125449","liver_biliary","fibroblast_stromal",0.119839802834258,981,TRUE
"TLR2","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
