"gene","atlas","tissue","compartment","fraction","n_cells","qualifying"
"STK11","GSE125449","liver_biliary","lymphoid",0.107427055702918,3828,TRUE
"TIMP1","GSE125449","liver_biliary","lymphoid",0.0179700715679896,3828,TRUE
"TNFRSF10B","GSE125449","liver_biliary","lymphoid",0.0690045248868778,3828,TRUE
"TP53","GSE125449","liver_biliary","lymphoid",0.173767752715121,3828,TRUE
"TP63","GSE125449","liver_biliary","lymphoid",0.235294117647059,3828,TRUE
"VDR","GSE125449","liver_biliary","lymphoid",0.311538461538462,3828,TRUE
"VEGFA","GSE125449","liver_biliary","lymphoid",0.014070006863418,3828,TRUE
"VEGFB","GSE125449","liver_biliary","lymphoid",0.100371747211896,3828,TRUE
"ZFP36","GSE125449","liver_biliary","lymphoid",0.168711919677336,3828,TRUE
"A2M","GSE125449","liver_biliary","lymphoid",0.00683219463422763,3828,TRUE
"HMOX1","GSE125449","liver_biliary","lymphoid",0.0723270440251572,3828,TRUE
"IFNAR1","GSE125449","liver_biliary","lymphoid",0.212793733681462,3828,TRUE
"IRF1","GSE125449","liver_biliary","lymphoid",0.383951120162933,3828,TRUE
"MYD88","GSE125449","liver_biliary","lymphoid",0.155467720685112,3828,TRUE
"PIM1","GSE125449","liver_biliary","lymphoid",0.565551537070524,3828,TRUE
"STAT1","GSE125449","liver_biliary","lymphoid",0.232277227722772,3828,TRUE
"TYK2","GSE125449","liver_biliary","lymphoid",0.179261862917399,3828,TRUE
"BCL2","GSE125449","liver_biliary","lymphoid",0.517365269461078,3828,FALSE
"MMP9","GSE125449","liver_biliary","lymphoid",0.101796407185629,3828,FALSE
"HGF","GSE125449","liver_biliary","lymphoid",0.0188679245283019,3828,FALSE
"MYC","GSE125449","liver_biliary","endothelial",0.261390887290168,1097,TRUE
"IL6","GSE125449","liver_biliary","endothelial",0.441176470588235,1097,TRUE
"SOCS3","GSE125449","liver_biliary","endothelial",0.528096147723655,1097,TRUE
"ACVR1B","GSE125449","liver_biliary","endothelial",0.207282913165266,1097,TRUE
"ACVRL1","GSE125449","liver_biliary","endothelial",0.732519422863485,1097,TRUE
"BAK1","GSE125449","liver_biliary","endothelial",0.0902489626556017,1097,TRUE
"CBL","GSE125449","liver_biliary","endothelial",0.270114942528736,1097,TRUE
"CCL7","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"CCR1","GSE125449","liver_biliary","endothelial",0,1097,TRUE
"CD14","GSE125449","liver_biliary","endothelial",0.0442719261435166,1097,TRUE
"CD36","GSE125449","liver_biliary","endothelial",0.346718678292795,1097,TRUE
"CD38","GSE125449","liver_biliary","endothelial",0.00250208507089241,1097,TRUE
"CD44","GSE125449","liver_biliary","endothelial",0.0101338183707938,1097,TRUE
"CD9","GSE125449","liver_biliary","endothelial",0.403006715506716,1097,TRUE
"CNTFR","GSE125449","liver_biliary","endothelial",0,1097,TRUE
"CRLF2","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"CSF1","GSE125449","liver_biliary","endothelial",0.130781499202552,1097,TRUE
"CSF2","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"CSF2RA","GSE125449","liver_biliary","endothelial",0.0304568527918782,1097,TRUE
"CSF2RB","GSE125449","liver_biliary","endothelial",0.274143302180685,1097,TRUE
"CSF3R","GSE125449","liver_biliary","endothelial",0.0173160173160173,1097,TRUE
"CXCL1","GSE125449","liver_biliary","endothelial",0.01066531234129,1097,TRUE
"CXCL10","GSE125449","liver_biliary","endothelial",0.0166602092212321,1097,TRUE
"CXCL11","GSE125449","liver_biliary","endothelial",0.218678815489749,1097,TRUE
"CXCL13","GSE125449","liver_biliary","endothelial",0.00120554550934298,1097,TRUE
"CXCL3","GSE125449","liver_biliary","endothelial",0.120214581809315,1097,TRUE
"CXCL9","GSE125449","liver_biliary","endothelial",0.11839863713799,1097,TRUE
"DNTT","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"EBI3","GSE125449","liver_biliary","endothelial",0.00662251655629139,1097,TRUE
"FAS","GSE125449","liver_biliary","endothelial",0.0653120464441219,1097,TRUE
"GRB2","GSE125449","liver_biliary","endothelial",0.0974687227233052,1097,TRUE
"HAX1","GSE125449","liver_biliary","endothelial",0.0997778600518327,1097,TRUE
"IFNGR1","GSE125449","liver_biliary","endothelial",0.193498049414824,1097,TRUE
"IFNGR2","GSE125449","liver_biliary","endothelial",0.114828209764919,1097,TRUE
"IL10RB","GSE125449","liver_biliary","endothelial",0.1601246105919,1097,TRUE
"IL12RB1","GSE125449","liver_biliary","endothelial",0.0129533678756477,1097,TRUE
"IL13RA1","GSE125449","liver_biliary","endothelial",0.161032575291948,1097,TRUE
"IL15RA","GSE125449","liver_biliary","endothelial",0.23110151187905,1097,TRUE
"IL17RA","GSE125449","liver_biliary","endothelial",0.149819494584838,1097,TRUE
"IL17RB","GSE125449","liver_biliary","endothelial",0.00363636363636364,1097,TRUE
"IL18R1","GSE125449","liver_biliary","endothelial",0.00571428571428571,1097,TRUE
"IL1B","GSE125449","liver_biliary","endothelial",0.0102717031146455,1097,TRUE
"IL1R1","GSE125449","liver_biliary","endothelial",0.208287895310796,1097,TRUE
"IL1R2","GSE125449","liver_biliary","endothelial",0.00813008130081301,1097,TRUE
"IL2RA","GSE125449","liver_biliary","endothelial",0.00941176470588235,1097,TRUE
"IL2RG","GSE125449","liver_biliary","endothelial",0.00454545454545455,1097,TRUE
"IL3RA","GSE125449","liver_biliary","endothelial",0.855740922473013,1097,TRUE
"IL4R","GSE125449","liver_biliary","endothelial",0.226514486391572,1097,TRUE
"IL6ST","GSE125449","liver_biliary","endothelial",0.41674232794625,1097,TRUE
"IL7","GSE125449","liver_biliary","endothelial",0.0306748466257669,1097,TRUE
"IL9R","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"INHBE","GSE125449","liver_biliary","endothelial",0,1097,TRUE
"IRF9","GSE125449","liver_biliary","endothelial",0.290636042402827,1097,TRUE
"ITGA4","GSE125449","liver_biliary","endothelial",0.0169491525423729,1097,TRUE
"ITGB3","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"JUN","GSE125449","liver_biliary","endothelial",0.27121666424505,1097,TRUE
"LEPR","GSE125449","liver_biliary","endothelial",0.196399345335516,1097,TRUE
"LTB","GSE125449","liver_biliary","endothelial",0.0103373231773667,1097,TRUE
"LTBR","GSE125449","liver_biliary","endothelial",0.192108971348051,1097,TRUE
"MAP3K8","GSE125449","liver_biliary","endothelial",0.115235217954251,1097,TRUE
"OSMR","GSE125449","liver_biliary","endothelial",0.176632934682613,1097,TRUE
"PDGFC","GSE125449","liver_biliary","endothelial",0.020746887966805,1097,TRUE
"PF4","GSE125449","liver_biliary","endothelial",0.0625,1097,TRUE
"PIK3R5","GSE125449","liver_biliary","endothelial",0.0128205128205128,1097,TRUE
"PLA2G2A","GSE125449","liver_biliary","endothelial",0.00779727095516569,1097,TRUE
"PTPN1","GSE125449","liver_biliary","endothelial",0.111496244945118,1097,TRUE
"PTPN11","GSE125449","liver_biliary","endothelial",0.159770114942529,1097,TRUE
"PTPN2","GSE125449","liver_biliary","endothelial",0.0966740576496674,1097,TRUE
"REG1A","GSE125449","liver_biliary","endothelial",0.0017458777885548,1097,TRUE
"SOCS1","GSE125449","liver_biliary","endothelial",0.0362273579013117,1097,TRUE
"STAM2","GSE125449","liver_biliary","endothelial",0.14954954954955,1097,TRUE
"STAT2","GSE125449","liver_biliary","endothelial",0.149916247906198,1097,TRUE
"STAT3","GSE125449","liver_biliary","endothelial",0.365029663810152,1097,TRUE
"TGFB1","GSE125449","liver_biliary","endothelial",0.238139248305607,1097,TRUE
"TLR2","GSE125449","liver_biliary","endothelial",0,1097,TRUE
"TNF","GSE125449","liver_biliary","endothelial",0.0158550396375991,1097,TRUE
"TNFRSF12A","GSE125449","liver_biliary","endothelial",0.0199023657529103,1097,TRUE
"TNFRSF1A","GSE125449","liver_biliary","endothelial",0.326834862385321,1097,TRUE
"TNFRSF1B","GSE125449","liver_biliary","endothelial",0.220997679814385,1097,TRUE
"TNFRSF21","GSE125449","liver_biliary","endothelial",0.0555951532430506,1097,TRUE
"ABCA1","GSE125449","liver_biliary","endothelial",0.0949227373068433,1097,TRUE
"AKAP12","GSE125449","liver_biliary","endothelial",0.403487429034874,1097,TRUE
"BCL2L1","GSE125449","liver_biliary","endothelial",0.135688478522682,1097,TRUE
"BCL6","GSE125449","liver_biliary","endothelial",0.331395348837209,1097,TRUE
"CCND1","GSE125449","liver_biliary","endothelial",0.335,1097,TRUE
"CCND3","GSE125449","liver_biliary","endothelial",0.160137457044674,1097,TRUE
"CDK4","GSE125449","liver_biliary","endothelial",0.110265161459701,1097,TRUE
"CDKN1A","GSE125449","liver_biliary","endothelial",0.394273573452044,1097,TRUE
"CDKN1B","GSE125449","liver_biliary","endothelial",0.196167423096319,1097,TRUE
"CFLAR","GSE125449","liver_biliary","endothelial",0.175995492111195,1097,TRUE
"CISH","GSE125449","liver_biliary","endothelial",0.0992555831265509,1097,TRUE
"COPS5","GSE125449","liver_biliary","endothelial",0.147166361974406,1097,TRUE
"CXCL8","GSE125449","liver_biliary","endothelial",0.0272018376352536,1097,TRUE
"DDIT3","GSE125449","liver_biliary","endothelial",0.132188498402556,1097,TRUE
"DNMT1","GSE125449","liver_biliary","endothelial",0.166587565258662,1097,TRUE
"EPAS1","GSE125449","liver_biliary","endothelial",0.702080443828017,1097,TRUE
"ESR2","GSE125449","liver_biliary","endothelial",0.180952380952381,1097,TRUE
"ETV6","GSE125449","liver_biliary","endothelial",0.202702702702703,1097,TRUE
"FGG","GSE125449","liver_biliary","endothelial",0.00361585189470639,1097,TRUE
"FGL1","GSE125449","liver_biliary","endothelial",0.0026416906820365,1097,TRUE
"FOS","GSE125449","liver_biliary","endothelial",0.377646984234329,1097,TRUE
"GFAP","GSE125449","liver_biliary","endothelial",0.1,1097,TRUE
"GREB1","GSE125449","liver_biliary","endothelial",0.0555555555555556,1097,TRUE
"HSPA4","GSE125449","liver_biliary","endothelial",0.128673550436855,1097,TRUE
"HSPB1","GSE125449","liver_biliary","endothelial",0.20051594262718,1097,TRUE
"ICAM1","GSE125449","liver_biliary","endothelial",0.421414808698046,1097,TRUE
"IKBKE","GSE125449","liver_biliary","endothelial",0.0107991360691145,1097,TRUE
"JAK2","GSE125449","liver_biliary","endothelial",0.148698884758364,1097,TRUE
"JUNB","GSE125449","liver_biliary","endothelial",0.426076911862012,1097,TRUE
"KRT17","GSE125449","liver_biliary","endothelial",0.0010335154289089,1097,TRUE
"LEP","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"LGALS3BP","GSE125449","liver_biliary","endothelial",0.0299145299145299,1097,TRUE
"LTBP1","GSE125449","liver_biliary","endothelial",0.146748681898067,1097,TRUE
"MCL1","GSE125449","liver_biliary","endothelial",0.239242558208075,1097,TRUE
"MDC1","GSE125449","liver_biliary","endothelial",0.161125319693095,1097,TRUE
"MMP1","GSE125449","liver_biliary","endothelial",0.112,1097,TRUE
"MMP7","GSE125449","liver_biliary","endothelial",0.000516595634766886,1097,TRUE
"MUC1","GSE125449","liver_biliary","endothelial",0.0031166518254675,1097,TRUE
"NME1","GSE125449","liver_biliary","endothelial",0.0594908688433868,1097,TRUE
"OAS1","GSE125449","liver_biliary","endothelial",0.0908183632734531,1097,TRUE
"OPRM1","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"PAX3","GSE125449","liver_biliary","endothelial",NA,1097,TRUE
"PHB","GSE125449","liver_biliary","endothelial",0.103088235294118,1097,TRUE
"POU2F1","GSE125449","liver_biliary","endothelial",0.211332312404288,1097,TRUE
"PPARA","GSE125449","liver_biliary","endothelial",0.143835616438356,1097,TRUE
"PRDM1","GSE125449","liver_biliary","endothelial",0.131693198263386,1097,TRUE
"PROS1","GSE125449","liver_biliary","endothelial",0.185205479452055,1097,TRUE
"PSMB5","GSE125449","liver_biliary","endothelial",0.161103253182461,1097,TRUE
"PTGS2","GSE125449","liver_biliary","endothelial",0.219873150105708,1097,TRUE
"PTPN6","GSE125449","liver_biliary","endothelial",0.0806584362139918,1097,TRUE
"ROR1","GSE125449","liver_biliary","endothelial",0.0686274509803922,1097,TRUE
"S100A11","GSE125449","liver_biliary","endothelial",0.0661712609777397,1097,TRUE
"S1PR1","GSE125449","liver_biliary","endothelial",0.836653386454183,1097,TRUE
"SALL4","GSE125449","liver_biliary","endothelial",0,1097,TRUE
"SHH","GSE125449","liver_biliary","endothelial",0,1097,TRUE
"STK11","GSE125449","liver_biliary","endothelial",0.222811671087533,1097,TRUE
"TIMP1","GSE125449","liver_biliary","endothelial",0.0591932335718933,1097,TRUE
"TNFRSF10B","GSE125449","liver_biliary","endothelial",0.263574660633484,1097,TRUE
"TP53","GSE125449","liver_biliary","endothelial",0.235588972431078,1097,TRUE
"TP63","GSE125449","liver_biliary","endothelial",0.0588235294117647,1097,TRUE
"VDR","GSE125449","liver_biliary","endothelial",0.0230769230769231,1097,TRUE
"VEGFA","GSE125449","liver_biliary","endothelial",0.00789293067947838,1097,TRUE
"VEGFB","GSE125449","liver_biliary","endothelial",0.0619578686493185,1097,TRUE
"ZFP36","GSE125449","liver_biliary","endothelial",0.46302811865328,1097,TRUE
"A2M","GSE125449","liver_biliary","endothelial",0.609898350274954,1097,TRUE
"HMOX1","GSE125449","liver_biliary","endothelial",0.0534591194968553,1097,TRUE
"IFNAR1","GSE125449","liver_biliary","endothelial",0.196257615317668,1097,TRUE
"IRF1","GSE125449","liver_biliary","endothelial",0.341099796334012,1097,TRUE
"MYD88","GSE125449","liver_biliary","endothelial",0.111989459815547,1097,TRUE
"PIM1","GSE125449","liver_biliary","endothelial",0.135623869801085,1097,TRUE
"STAT1","GSE125449","liver_biliary","endothelial",0.0536633663366337,1097,TRUE
"TYK2","GSE125449","liver_biliary","endothelial",0.226713532513181,1097,TRUE
"BCL2","GSE125449","liver_biliary","endothelial",0.0658682634730539,1097,FALSE
"MMP9","GSE125449","liver_biliary","endothelial",0.0179640718562874,1097,FALSE
"HGF","GSE125449","liver_biliary","endothelial",0.0584905660377358,1097,FALSE
"MYC","GSE125449","liver_biliary","other",0.0209832134292566,194,TRUE
"IL6","GSE125449","liver_biliary","other",0.00127877237851662,194,TRUE
"SOCS3","GSE125449","liver_biliary","other",0.0111429481056988,194,TRUE
"ACVR1B","GSE125449","liver_biliary","other",0.0112044817927171,194,TRUE
"ACVRL1","GSE125449","liver_biliary","other",0.00887902330743618,194,TRUE
"BAK1","GSE125449","liver_biliary","other",0.0155601659751037,194,TRUE
"CBL","GSE125449","liver_biliary","other",0.0431034482758621,194,TRUE
"CCL7","GSE125449","liver_biliary","other",NA,194,TRUE
"CCR1","GSE125449","liver_biliary","other",0.0204081632653061,194,TRUE
"CD14","GSE125449","liver_biliary","other",0.00461603021401595,194,TRUE
"CD36","GSE125449","liver_biliary","other",0.0332721431849472,194,TRUE
"CD38","GSE125449","liver_biliary","other",0.0542118432026689,194,TRUE
"CD44","GSE125449","liver_biliary","other",0.0192282707548395,194,TRUE
"CD9","GSE125449","liver_biliary","other",0.0216727716727717,194,TRUE
"CNTFR","GSE125449","liver_biliary","other",0,194,TRUE
"CRLF2","GSE125449","liver_biliary","other",NA,194,TRUE
"CSF1","GSE125449","liver_biliary","other",0.00797448165869218,194,TRUE
"CSF2","GSE125449","liver_biliary","other",NA,194,TRUE
"CSF2RA","GSE125449","liver_biliary","other",0.050761421319797,194,TRUE
"CSF2RB","GSE125449","liver_biliary","other",0.105919003115265,194,TRUE
"CSF3R","GSE125449","liver_biliary","other",0.025974025974026,194,TRUE
"CXCL1","GSE125449","liver_biliary","other",0.000507872016251904,194,TRUE
"CXCL10","GSE125449","liver_biliary","other",0.0065865943432778,194,TRUE
"CXCL11","GSE125449","liver_biliary","other",0.00911161731207289,194,TRUE
"CXCL13","GSE125449","liver_biliary","other",0.000602772754671489,194,TRUE
"CXCL3","GSE125449","liver_biliary","other",0.000487685930260912,194,TRUE
"CXCL9","GSE125449","liver_biliary","other",0.00255536626916525,194,TRUE
"DNTT","GSE125449","liver_biliary","other",NA,194,TRUE
"EBI3","GSE125449","liver_biliary","other",0.0198675496688742,194,TRUE
"FAS","GSE125449","liver_biliary","other",0.0174165457184325,194,TRUE
"GRB2","GSE125449","liver_biliary","other",0.0308408495781205,194,TRUE
"HAX1","GSE125449","liver_biliary","other",0.0203628285820067,194,TRUE
"IFNGR1","GSE125449","liver_biliary","other",0.0442132639791938,194,TRUE
"IFNGR2","GSE125449","liver_biliary","other",0.0171790235081374,194,TRUE
"IL10RB","GSE125449","liver_biliary","other",0.0186915887850467,194,TRUE
"IL12RB1","GSE125449","liver_biliary","other",0.0155440414507772,194,TRUE
"IL13RA1","GSE125449","liver_biliary","other",0.0264290104486785,194,TRUE
"IL15RA","GSE125449","liver_biliary","other",0.0107991360691145,194,TRUE
"IL17RA","GSE125449","liver_biliary","other",0.0144404332129964,194,TRUE
"IL17RB","GSE125449","liver_biliary","other",0.04,194,TRUE
"IL18R1","GSE125449","liver_biliary","other",0.0571428571428571,194,TRUE
"IL1B","GSE125449","liver_biliary","other",0.0119284294234592,194,TRUE
"IL1R1","GSE125449","liver_biliary","other",0.0272628135223555,194,TRUE
"IL1R2","GSE125449","liver_biliary","other",0.00609756097560976,194,TRUE
"IL2RA","GSE125449","liver_biliary","other",0.0117647058823529,194,TRUE
"IL2RG","GSE125449","liver_biliary","other",0.0224242424242424,194,TRUE
"IL3RA","GSE125449","liver_biliary","other",0.0353287536800785,194,TRUE
"IL4R","GSE125449","liver_biliary","other",0.0158033362598771,194,TRUE
"IL6ST","GSE125449","liver_biliary","other",0.0128926820410387,194,TRUE
"IL7","GSE125449","liver_biliary","other",0.0306748466257669,194,TRUE
"IL9R","GSE125449","liver_biliary","other",NA,194,TRUE
"INHBE","GSE125449","liver_biliary","other",0.00258064516129032,194,TRUE
"IRF9","GSE125449","liver_biliary","other",0.0247349823321555,194,TRUE
"ITGA4","GSE125449","liver_biliary","other",0.0437853107344633,194,TRUE
"ITGB3","GSE125449","liver_biliary","other",NA,194,TRUE
"JUN","GSE125449","liver_biliary","other",0.0171846724873526,194,TRUE
"LEPR","GSE125449","liver_biliary","other",0.0155482815057283,194,TRUE
"LTB","GSE125449","liver_biliary","other",0.019133115705477,194,TRUE
"LTBR","GSE125449","liver_biliary","other",0.0211366838891498,194,TRUE
"MAP3K8","GSE125449","liver_biliary","other",0.0185584807941303,194,TRUE
"OSMR","GSE125449","liver_biliary","other",0.00919963201471941,194,TRUE
"PDGFC","GSE125449","liver_biliary","other",0.004149377593361,194,TRUE
"PF4","GSE125449","liver_biliary","other",0,194,TRUE
"PIK3R5","GSE125449","liver_biliary","other",0.0384615384615385,194,TRUE
"PLA2G2A","GSE125449","liver_biliary","other",0.041585445094217,194,TRUE
"PTPN1","GSE125449","liver_biliary","other",0.0323512420566147,194,TRUE
"PTPN11","GSE125449","liver_biliary","other",0.0166666666666667,194,TRUE
"PTPN2","GSE125449","liver_biliary","other",0.0305986696230599,194,TRUE
"REG1A","GSE125449","liver_biliary","other",0.0102812803103783,194,TRUE
"SOCS1","GSE125449","liver_biliary","other",0.0168644597126796,194,TRUE
"STAM2","GSE125449","liver_biliary","other",0.0252252252252252,194,TRUE
"STAT2","GSE125449","liver_biliary","other",0.0276381909547739,194,TRUE
"STAT3","GSE125449","liver_biliary","other",0.0154911008569545,194,TRUE
"TGFB1","GSE125449","liver_biliary","other",0.0194085027726433,194,TRUE
"TLR2","GSE125449","liver_biliary","other",0.0133333333333333,194,TRUE
"TNF","GSE125449","liver_biliary","other",0.0169875424688562,194,TRUE
"TNFRSF12A","GSE125449","liver_biliary","other",0.00963825259732132,194,TRUE
"TNFRSF1A","GSE125449","liver_biliary","other",0.0189220183486239,194,TRUE
"TNFRSF1B","GSE125449","liver_biliary","other",0.0191415313225058,194,TRUE
"TNFRSF21","GSE125449","liver_biliary","other",0.0342124019957235,194,TRUE
"ABCA1","GSE125449","liver_biliary","other",0.0187637969094923,194,TRUE
"AKAP12","GSE125449","liver_biliary","other",0.0121654501216545,194,TRUE
"BCL2L1","GSE125449","liver_biliary","other",0.00923323966278603,194,TRUE
"BCL6","GSE125449","liver_biliary","other",0.0276162790697674,194,TRUE
"CCND1","GSE125449","liver_biliary","other",0.0112121212121212,194,TRUE
"CCND3","GSE125449","liver_biliary","other",0.0219931271477663,194,TRUE
"CDK4","GSE125449","liver_biliary","other",0.0126017327382515,194,TRUE
"CDKN1A","GSE125449","liver_biliary","other",0.0147713476325374,194,TRUE
"CDKN1B","GSE125449","liver_biliary","other",0.016137165910237,194,TRUE
"CFLAR","GSE125449","liver_biliary","other",0.0180315552216379,194,TRUE
"CISH","GSE125449","liver_biliary","other",0.0248138957816377,194,TRUE
"COPS5","GSE125449","liver_biliary","other",0.0274223034734918,194,TRUE
"CXCL8","GSE125449","liver_biliary","other",0.00253883817929033,194,TRUE
"DDIT3","GSE125449","liver_biliary","other",0.0149760383386581,194,TRUE
"DNMT1","GSE125449","liver_biliary","other",0.0294257237778832,194,TRUE
"EPAS1","GSE125449","liver_biliary","other",0.00804438280166436,194,TRUE
"ESR2","GSE125449","liver_biliary","other",0.0380952380952381,194,TRUE
"ETV6","GSE125449","liver_biliary","other",0.0405405405405405,194,TRUE
"FGG","GSE125449","liver_biliary","other",0.0357969337575933,194,TRUE
"FGL1","GSE125449","liver_biliary","other",0.113712776176753,194,TRUE
"FOS","GSE125449","liver_biliary","other",0.0109577750538907,194,TRUE
"GFAP","GSE125449","liver_biliary","other",0,194,TRUE
"GREB1","GSE125449","liver_biliary","other",0.0666666666666667,194,TRUE
"HSPA4","GSE125449","liver_biliary","other",0.0254169976171565,194,TRUE
"HSPB1","GSE125449","liver_biliary","other",0.0114332886183056,194,TRUE
"ICAM1","GSE125449","liver_biliary","other",0.00825763831544178,194,TRUE
"IKBKE","GSE125449","liver_biliary","other",0.00863930885529158,194,TRUE
"JAK2","GSE125449","liver_biliary","other",0.0371747211895911,194,TRUE
"JUNB","GSE125449","liver_biliary","other",0.0112036964347797,194,TRUE
"KRT17","GSE125449","liver_biliary","other",0.000295290122545401,194,TRUE
"LEP","GSE125449","liver_biliary","other",NA,194,TRUE
"LGALS3BP","GSE125449","liver_biliary","other",0.0203619909502262,194,TRUE
"LTBP1","GSE125449","liver_biliary","other",0.00615114235500879,194,TRUE
"MCL1","GSE125449","liver_biliary","other",0.0202623047450634,194,TRUE
"MDC1","GSE125449","liver_biliary","other",0.020460358056266,194,TRUE
"MMP1","GSE125449","liver_biliary","other",0.04,194,TRUE
"MMP7","GSE125449","liver_biliary","other",0.0138189332300142,194,TRUE
"MUC1","GSE125449","liver_biliary","other",0.00222617987533393,194,TRUE
"NME1","GSE125449","liver_biliary","other",0.0237963475373547,194,TRUE
"OAS1","GSE125449","liver_biliary","other",0.0269461077844311,194,TRUE
"OPRM1","GSE125449","liver_biliary","other",NA,194,TRUE
"PAX3","GSE125449","liver_biliary","other",NA,194,TRUE
"PHB","GSE125449","liver_biliary","other",0.0302941176470588,194,TRUE
"POU2F1","GSE125449","liver_biliary","other",0.0398162327718224,194,TRUE
"PPARA","GSE125449","liver_biliary","other",0.0410958904109589,194,TRUE
"PRDM1","GSE125449","liver_biliary","other",0.0253256150506512,194,TRUE
"PROS1","GSE125449","liver_biliary","other",0.0323287671232877,194,TRUE
"PSMB5","GSE125449","liver_biliary","other",0.014992927864215,194,TRUE
"PTGS2","GSE125449","liver_biliary","other",0.0126849894291755,194,TRUE
"PTPN6","GSE125449","liver_biliary","other",0.0205761316872428,194,TRUE
"ROR1","GSE125449","liver_biliary","other",0.00980392156862745,194,TRUE
"S100A11","GSE125449","liver_biliary","other",0.00848560742119919,194,TRUE
"S1PR1","GSE125449","liver_biliary","other",0.00796812749003984,194,TRUE
"SALL4","GSE125449","liver_biliary","other",0.0681818181818182,194,TRUE
"SHH","GSE125449","liver_biliary","other",0.029940119760479,194,TRUE
"STK11","GSE125449","liver_biliary","other",0.0225464190981432,194,TRUE
"TIMP1","GSE125449","liver_biliary","other",0.00576447625243982,194,TRUE
"TNFRSF10B","GSE125449","liver_biliary","other",0.0147058823529412,194,TRUE
"TP53","GSE125449","liver_biliary","other",0.0233918128654971,194,TRUE
"TP63","GSE125449","liver_biliary","other",0.0588235294117647,194,TRUE
"VDR","GSE125449","liver_biliary","other",0.0346153846153846,194,TRUE
"VEGFA","GSE125449","liver_biliary","other",0.01681537405628,194,TRUE
"VEGFB","GSE125449","liver_biliary","other",0.0309789343246592,194,TRUE
"ZFP36","GSE125449","liver_biliary","other",0.0181355301925112,194,TRUE
"A2M","GSE125449","liver_biliary","other",0.0109981669721713,194,TRUE
"HMOX1","GSE125449","liver_biliary","other",0.0212264150943396,194,TRUE
"IFNAR1","GSE125449","liver_biliary","other",0.0243690165361184,194,TRUE
"IRF1","GSE125449","liver_biliary","other",0.0144195519348269,194,TRUE
"MYD88","GSE125449","liver_biliary","other",0.0316205533596838,194,TRUE
"PIM1","GSE125449","liver_biliary","other",0.0244122965641953,194,TRUE
"STAT1","GSE125449","liver_biliary","other",0.0188118811881188,194,TRUE
"TYK2","GSE125449","liver_biliary","other",0.0228471001757469,194,TRUE
"BCL2","GSE125449","liver_biliary","other",0.0203592814371257,194,FALSE
"MMP9","GSE125449","liver_biliary","other",0.0658682634730539,194,FALSE
"HGF","GSE125449","liver_biliary","other",0.00754716981132075,194,FALSE
"MYC","GSE178341","colorectal","epithelial",0.932359625636996,113216,TRUE
"IL6","GSE178341","colorectal","epithelial",0.0215985407511815,113216,TRUE
"SOCS3","GSE178341","colorectal","epithelial",0.183101828876503,113216,TRUE
"ACVR1B","GSE178341","colorectal","epithelial",0.904079135574819,113216,TRUE
"ACVRL1","GSE178341","colorectal","epithelial",0.611214087117702,113216,TRUE
"BAK1","GSE178341","colorectal","epithelial",0.801003483657722,113216,TRUE
"CBL","GSE178341","colorectal","epithelial",0.535477723290027,113216,TRUE
"CCL7","GSE178341","colorectal","epithelial",0.0159385344721893,113216,TRUE
"CCR1","GSE178341","colorectal","epithelial",0.0294908812714395,113216,TRUE
"CD14","GSE178341","colorectal","epithelial",0.0304761159579046,113216,TRUE
"CD36","GSE178341","colorectal","epithelial",0.0370005858230814,113216,TRUE
"CD38","GSE178341","colorectal","epithelial",0.0499754002195057,113216,TRUE
"CD44","GSE178341","colorectal","epithelial",0.574910727426239,113216,TRUE
"CD9","GSE178341","colorectal","epithelial",0.916303682675112,113216,TRUE
"CNTFR","GSE178341","colorectal","epithelial",0.95742016280526,113216,TRUE
"CRLF2","GSE178341","colorectal","epithelial",0.212765957446809,113216,TRUE
"CSF1","GSE178341","colorectal","epithelial",0.206298745337403,113216,TRUE
"CSF2","GSE178341","colorectal","epithelial",0.115422885572139,113216,TRUE
"CSF2RA","GSE178341","colorectal","epithelial",0.130118932819029,113216,TRUE
"CSF2RB","GSE178341","colorectal","epithelial",0.0247853676745054,113216,TRUE
"CSF3R","GSE178341","colorectal","epithelial",0.0999280296739191,113216,TRUE
"CXCL1","GSE178341","colorectal","epithelial",0.744556599574105,113216,TRUE
"CXCL10","GSE178341","colorectal","epithelial",0.204569476505754,113216,TRUE
"CXCL11","GSE178341","colorectal","epithelial",0.823638081242784,113216,TRUE
"CXCL13","GSE178341","colorectal","epithelial",0.0164614071454701,113216,TRUE
"CXCL3","GSE178341","colorectal","epithelial",0.748906012249007,113216,TRUE
"CXCL9","GSE178341","colorectal","epithelial",0.0594138145432988,113216,TRUE
"DNTT","GSE178341","colorectal","epithelial",0.297297297297297,113216,TRUE
"EBI3","GSE178341","colorectal","epithelial",0.014959202175884,113216,TRUE
"FAS","GSE178341","colorectal","epithelial",0.620139338950097,113216,TRUE
