"variant","cohort","model","n","events","epv","band","fitted","beta","se","HR","meta_eligible","rows_dropped_vs_primary"
"estimate_purity","TCGA-LIHC","M2",370,130,26,"fit_and_pool",TRUE,0.233928,0.090408,1.2636,TRUE,0
"estimate_purity","TCGA-LIHC","M3",370,130,21.67,"fit_and_pool",TRUE,0.384326,0.108714,1.4686,TRUE,0
"estimate_purity","TCGA-LIHC","M4",370,130,18.57,"fit_and_pool",TRUE,0.372409,0.108501,1.4512,TRUE,0
"estimate_purity","TCGA-CHOL","M1",35,18,18,"fit_and_pool",TRUE,-0.160616,0.216782,0.8516,FALSE,0
"estimate_purity","TCGA-CHOL","M2",35,18,3.6,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"estimate_purity","TCGA-CHOL","M3",35,18,3,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"estimate_purity","TCGA-CHOL","M4",35,18,2.57,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"score_143","TCGA-COAD","M1",455,102,102,"fit_and_pool",TRUE,0.006945,0.094232,1.007,TRUE,0
"score_143","TCGA-COAD","M2",455,102,20.4,"fit_and_pool",TRUE,0.005989,0.098048,1.006,TRUE,0
"score_143","TCGA-COAD","M3",455,102,17,"fit_and_pool",TRUE,-0.018229,0.119487,0.9819,TRUE,0
"score_143","TCGA-COAD","M4",455,102,14.57,"fit_and_pool",TRUE,-0.071156,0.139449,0.9313,TRUE,0
"score_143","TCGA-READ","M1",165,36,36,"fit_and_pool",TRUE,-0.0327,0.167248,0.9678,TRUE,0
"score_143","TCGA-READ","M2",165,36,7.2,"fit_pool_flag_LOO",TRUE,-0.043738,0.158099,0.9572,TRUE,0
"score_143","TCGA-READ","M3",165,36,6,"fit_pool_flag_LOO",TRUE,0.021371,0.189661,1.0216,TRUE,0
"score_143","TCGA-READ","M4",165,36,5.14,"fit_pool_flag_LOO",TRUE,-0.016568,0.225952,0.9836,TRUE,0
"score_143","TCGA-STAD","M1",403,157,157,"fit_and_pool",TRUE,0.11646,0.083467,1.1235,TRUE,3
"score_143","TCGA-STAD","M2",403,157,31.4,"fit_and_pool",TRUE,0.078512,0.085431,1.0817,TRUE,3
"score_143","TCGA-STAD","M3",403,157,26.17,"fit_and_pool",TRUE,0.011475,0.092905,1.0115,TRUE,3
"score_143","TCGA-STAD","M4",403,157,22.43,"fit_and_pool",TRUE,0.007965,0.092864,1.008,TRUE,3
"score_143","TCGA-ESCA","M1",184,77,77,"fit_and_pool",TRUE,0.059789,0.115644,1.0616,TRUE,0
"score_143","TCGA-ESCA","M2",184,77,15.4,"fit_and_pool",TRUE,0.143674,0.117338,1.1545,TRUE,0
"score_143","TCGA-ESCA","M3",184,77,12.83,"fit_and_pool",TRUE,0.21581,0.138421,1.2409,TRUE,0
"score_143","TCGA-ESCA","M4",184,77,11,"fit_and_pool",TRUE,0.212015,0.140631,1.2362,TRUE,0
"score_143","TCGA-PAAD","M1",178,93,93,"fit_and_pool",TRUE,0.265721,0.116638,1.3044,TRUE,0
"score_143","TCGA-PAAD","M2",178,93,18.6,"fit_and_pool",TRUE,0.263824,0.119646,1.3019,TRUE,0
"score_143","TCGA-PAAD","M3",178,93,15.5,"fit_and_pool",TRUE,0.449084,0.170089,1.5669,TRUE,0
"score_143","TCGA-PAAD","M4",178,93,13.29,"fit_and_pool",TRUE,0.402312,0.174224,1.4953,TRUE,0
"score_143","TCGA-LIHC","M1",370,130,130,"fit_and_pool",TRUE,0.228158,0.088064,1.2563,TRUE,0
"score_143","TCGA-LIHC","M2",370,130,26,"fit_and_pool",TRUE,0.230697,0.090107,1.2595,TRUE,0
"score_143","TCGA-LIHC","M3",370,130,21.67,"fit_and_pool",TRUE,0.321152,0.105091,1.3787,TRUE,0
"score_143","TCGA-LIHC","M4",370,130,18.57,"fit_and_pool",TRUE,0.365582,0.107292,1.4414,TRUE,0
"score_143","TCGA-CHOL","M1",35,18,18,"fit_and_pool",TRUE,-0.162334,0.216051,0.8502,FALSE,0
"score_143","TCGA-CHOL","M2",35,18,3.6,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"score_143","TCGA-CHOL","M3",35,18,3,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"score_143","TCGA-CHOL","M4",35,18,2.57,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"no_redacted","TCGA-COAD","M1",455,102,102,"fit_and_pool",TRUE,0.005159,0.094338,1.0052,TRUE,0
"no_redacted","TCGA-COAD","M2",455,102,20.4,"fit_and_pool",TRUE,0.004596,0.098124,1.0046,TRUE,0
"no_redacted","TCGA-COAD","M3",455,102,17,"fit_and_pool",TRUE,-0.019686,0.118769,0.9805,TRUE,0
"no_redacted","TCGA-COAD","M4",455,102,14.57,"fit_and_pool",TRUE,-0.071333,0.137779,0.9312,TRUE,0
"no_redacted","TCGA-READ","M1",165,36,36,"fit_and_pool",TRUE,-0.035099,0.166886,0.9655,TRUE,0
"no_redacted","TCGA-READ","M2",165,36,7.2,"fit_pool_flag_LOO",TRUE,-0.045714,0.157689,0.9553,TRUE,0
"no_redacted","TCGA-READ","M3",165,36,6,"fit_pool_flag_LOO",TRUE,0.016465,0.18771,1.0166,TRUE,0
"no_redacted","TCGA-READ","M4",165,36,5.14,"fit_pool_flag_LOO",TRUE,-0.022076,0.221829,0.9782,TRUE,0
"no_redacted","TCGA-STAD","M1",403,157,157,"fit_and_pool",TRUE,0.113122,0.08345,1.1198,TRUE,3
"no_redacted","TCGA-STAD","M2",403,157,31.4,"fit_and_pool",TRUE,0.075526,0.085496,1.0785,TRUE,3
"no_redacted","TCGA-STAD","M3",403,157,26.17,"fit_and_pool",TRUE,0.012236,0.092029,1.0123,TRUE,3
"no_redacted","TCGA-STAD","M4",403,157,22.43,"fit_and_pool",TRUE,0.008397,0.092021,1.0084,TRUE,3
"no_redacted","TCGA-ESCA","M1",184,77,77,"fit_and_pool",TRUE,0.054184,0.115658,1.0557,TRUE,0
"no_redacted","TCGA-ESCA","M2",184,77,15.4,"fit_and_pool",TRUE,0.146456,0.118195,1.1577,TRUE,0
"no_redacted","TCGA-ESCA","M3",184,77,12.83,"fit_and_pool",TRUE,0.211618,0.136952,1.2357,TRUE,0
"no_redacted","TCGA-ESCA","M4",184,77,11,"fit_and_pool",TRUE,0.207848,0.13923,1.231,TRUE,0
"no_redacted","TCGA-PAAD","M1",178,93,93,"fit_and_pool",TRUE,0.276873,0.117908,1.319,TRUE,0
"no_redacted","TCGA-PAAD","M2",178,93,18.6,"fit_and_pool",TRUE,0.275399,0.121129,1.3171,TRUE,0
"no_redacted","TCGA-PAAD","M3",178,93,15.5,"fit_and_pool",TRUE,0.457845,0.169187,1.5807,TRUE,0
"no_redacted","TCGA-PAAD","M4",178,93,13.29,"fit_and_pool",TRUE,0.411072,0.173273,1.5084,TRUE,0
"no_redacted","TCGA-LIHC","M1",369,129,129,"fit_and_pool",TRUE,0.234667,0.088626,1.2645,TRUE,1
"no_redacted","TCGA-LIHC","M2",369,129,25.8,"fit_and_pool",TRUE,0.231794,0.090487,1.2609,TRUE,1
"no_redacted","TCGA-LIHC","M3",369,129,21.5,"fit_and_pool",TRUE,0.318943,0.104758,1.3757,TRUE,1
"no_redacted","TCGA-LIHC","M4",369,129,18.43,"fit_and_pool",TRUE,0.360243,0.106834,1.4337,TRUE,1
"no_redacted","TCGA-CHOL","M1",35,18,18,"fit_and_pool",TRUE,-0.160616,0.216782,0.8516,FALSE,0
"no_redacted","TCGA-CHOL","M2",35,18,3.6,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"no_redacted","TCGA-CHOL","M3",35,18,3,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
"no_redacted","TCGA-CHOL","M4",35,18,2.57,"do_not_fit",FALSE,NA,NA,NA,FALSE,0
