"cohort","model","beta_score","se_score","beta_tt","se_tt","p_tt","failed","reason"
"TCGA-COAD","M2",-0.0351380312304001,0.375608515103839,0.00673537326109691,0.0614704602135768,0.912749695107568,FALSE,NA
"TCGA-COAD","M4",-0.106594951887899,0.381928399732363,0.00603829080896935,0.0610333679927672,0.921190470544964,FALSE,NA
"TCGA-STAD","M4",-0.367264410737541,0.435819807971128,0.066900093672526,0.0761834795608021,0.379865376742166,FALSE,NA
"TCGA-PAAD","M3",-0.436199567192014,0.808696516492067,0.153404275096648,0.138399673042542,0.267682625062264,FALSE,NA
"TCGA-LIHC","M1",0.99131601255121,0.383520162254065,-0.133101928666627,0.0660439748891492,0.0438676662091872,FALSE,NA
"TCGA-LIHC","M2",0.853351221069004,0.386703828292552,-0.109240756952221,0.0667690043963173,0.101818695125806,FALSE,NA
"TCGA-LIHC","M3",0.954503473419397,0.396970863539219,-0.11149100452073,0.0677607650349257,0.0998951304598495,FALSE,NA
"TCGA-LIHC","M4",1.01366683941588,0.401794488026465,-0.114711660011079,0.0685235675522094,0.0941213990675327,FALSE,NA
