"group","n","mean_score","sd_score","median_score","mean_diff","t_p","wilcox_p","welch_ci_lo","welch_ci_hi","tests"
"Y705 measured",114,-0.0511066367077221,0.856132260731877,0.000206798215255377,0.0390387421360106,0.771868708893584,0.97876326528504,-0.226260398808033,0.304337883080054,"association of Y705 missingness with the SCORE (predictor-side selection). Does NOT test Amendment 18's range-truncation claim, which concerns the unobserved Y705 values in the 94 excluded patients and is unfalsifiable from these data."
"Y705 missing",94,-0.0901453788437328,1.04628373508189,0.00592200890686474,NA,NA,NA,NA,NA,NA
