"analysis","k","cohorts","n_total","est","se_hksj","ci_lo","ci_hi","p","HR","HR_lo","HR_hi","ci_lo_wald","ci_hi_wald","fe_est","fe_ci_lo","fe_ci_hi","tau2","I2","Q","Q_df","Q_p","pi_lo","pi_hi"
"alt_endpoint_matched_M2",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.082606,0.032115,-0.006559,0.171771,0.06183,1.0861,0.9935,1.1874,-0.002398,0.16761,0.082606,-0.002398,0.16761,0,0,2.1932,4,0.7003,-0.006559,0.171771
"alt_endpoint_matched_M4",5,"COAD+STAD+ESCA+PAAD+LIHC",1590,0.101348,0.048655,-0.033739,0.236436,0.1057,1.1067,0.9668,1.2667,-0.000196,0.202892,0.101347,-0.000172,0.202866,6e-06,0.04,3.529,4,0.4735,-0.033903,0.2366
