"cohort","r","r_stromal140","r_between_variants","exceeds"
"TCGA-COAD",0.98195866393957,0.984995707712833,0.998726268864984,TRUE
"TCGA-READ",0.980927310635607,0.985925754334143,0.998167952461942,TRUE
"TCGA-STAD",0.964694848373927,0.971584111008579,0.99841225990516,TRUE
"TCGA-ESCA",0.962306472154827,0.964961013060962,0.997104118311481,TRUE
"TCGA-PAAD",0.978210123620475,0.980604803569287,0.99936723622092,TRUE
"TCGA-LIHC",0.986002541469758,0.986968164964533,0.998581555006888,TRUE
"TCGA-CHOL",0.956743394683776,0.965214457842282,0.998904287886135,TRUE
