"gene","atlas","tissue","f_at_0.30","f_at_0.50","f_at_0.70","ci_lo_0.30","ci_hi_0.30","evaluable","dominant","dominant_50","dom_rate","dom_rate_lo","dom_rate_hi","dom_n_eval","dom50_rate","origin_six","in_panel","qualifying"
"GRB2","GSE125449","liver_biliary",0.260969966523765,0.451741848461582,0.657835321138058,0.165935434947616,0.37185548690356,TRUE,FALSE,FALSE,0,0,0,2000,0.26,FALSE,TRUE,TRUE
"HAX1","GSE125449","liver_biliary",0.495090501815339,0.695859760325552,0.842235612322128,0.380047745968476,0.623439864433203,TRUE,FALSE,TRUE,0.4865,0,1,2000,1,FALSE,TRUE,TRUE
"IFNGR1","GSE125449","liver_biliary",0.388563529302822,0.597231650917464,0.775780014070937,0.19518945966979,0.607705685366179,TRUE,FALSE,TRUE,0.1565,0,1,2000,0.795,FALSE,TRUE,TRUE
"IFNGR2","GSE125449","liver_biliary",0.440527847094335,0.647547837118336,0.81085504542993,0.302033553767002,0.59821341279308,TRUE,FALSE,TRUE,0.221,0,1,2000,0.9775,FALSE,TRUE,TRUE
"IL10RB","GSE125449","liver_biliary",0.344499707096938,0.550821972368282,0.741022578123848,0.254246976545112,0.460347198515586,TRUE,FALSE,TRUE,0.004,0,0,2000,0.8175,FALSE,TRUE,TRUE
"IL12RB1","GSE125449","liver_biliary",0.0246210070514104,0.0556230233207562,0.120826103516865,0.0133267443713482,0.047486112183407,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"IL13RA1","GSE125449","liver_biliary",0.50508380119492,0.704253095490185,0.847474845286407,0.379760818065348,0.655668763875063,TRUE,TRUE,TRUE,0.5175,0,1,2000,1,FALSE,TRUE,TRUE
"IL15RA","GSE125449","liver_biliary",0.449250630066343,0.65556655373415,0.81621284028629,0.233773230489153,0.650299712245625,TRUE,FALSE,TRUE,0.306,0,1,2000,0.9005,FALSE,TRUE,TRUE
"IL17RA","GSE125449","liver_biliary",0.271145602040143,0.464678888713068,0.669467513434294,0.218665386782468,0.362160159748755,TRUE,FALSE,FALSE,0,0,0,2000,0.2285,FALSE,TRUE,TRUE
"IL17RB","GSE125449","liver_biliary",0.859256782176148,0.934406109368608,0.97079361224118,0.718075044538041,0.947619519180991,TRUE,TRUE,TRUE,1,1,1,2000,1,FALSE,TRUE,TRUE
