"cohort","comparison","method","n","r","ci_lo","ci_hi","p","label"
"TCGA-ESCA","3. total STAT3 RPPA vs STAT3_pY705 RPPA","pearson",125,0.5433,0.4064,0.6563,5.91081603159805e-11,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","3. total STAT3 RPPA vs STAT3_pY705 RPPA","pearson",181,0.2722,0.1316,0.4021,0.00020965043480711,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","3. total STAT3 RPPA vs STAT3_pY705 RPPA","pearson",111,0.0371,-0.1503,0.2219,0.69920401285657,"EXPLORATORY_POSTHOC"
"TCGA-READ","3. total STAT3 RPPA vs STAT3_pY705 RPPA","pearson",121,-0.0841,-0.2587,0.0958,0.359080646637817,"EXPLORATORY_POSTHOC"
"TCGA-STAD","3. total STAT3 RPPA vs STAT3_pY705 RPPA","pearson",327,0.0502,-0.0586,0.1578,0.365628601785115,"EXPLORATORY_POSTHOC"
"TCGA-COAD","3. total STAT3 RPPA vs STAT3_pY705 RPPA","spearman",345,-0.0787,-0.1829,0.0273,0.144881602524635,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","3. total STAT3 RPPA vs STAT3_pY705 RPPA","spearman",125,0.4431,0.2823,0.5797,2.28004932866527e-07,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","3. total STAT3 RPPA vs STAT3_pY705 RPPA","spearman",181,0.232,0.0873,0.3672,0.00167146997462746,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","3. total STAT3 RPPA vs STAT3_pY705 RPPA","spearman",111,0.1647,-0.0237,0.3417,0.0841670042519788,"EXPLORATORY_POSTHOC"
"TCGA-READ","3. total STAT3 RPPA vs STAT3_pY705 RPPA","spearman",121,-0.1549,-0.3253,0.0254,0.089901429021191,"EXPLORATORY_POSTHOC"
"TCGA-STAD","3. total STAT3 RPPA vs STAT3_pY705 RPPA","spearman",327,0.0304,-0.0783,0.1384,0.583934989653031,"EXPLORATORY_POSTHOC"
"TCGA-COAD","4. score_140 vs STAT3_pY705 RPPA (from 13)","pearson",356,0.1998,0.0979,0.2976,0.000147770472012999,"EXPLORATORY_POSTHOC"
