"config","role","statistic","n_null","min","q25","median","mean","q75","max","observed","observed_percentile"
"registered_152|registered","primary_registered","pooled_M1_logHR",10000,0.0649875688330634,0.107915232744991,0.117486105042139,0.117481399565264,0.126995996681366,0.16814172302198,0.121174,60.48
"registered_152|registered","primary_registered","pooled_M2_logHR",10000,0.0692529045784865,0.112146920357766,0.12173409810273,0.121937827006119,0.131689419000318,0.178048839284784,0.122869,52.7
"registered_152|registered","primary_registered","pooled_attenuation_total",10000,-0.00799975899219531,0.0111518245130493,0.0153179251743266,0.0152437568319828,0.0195222215443887,0.0369199540652639,-0.024766,0
"tested_140|registered","size_sensitivity","pooled_M1_logHR",10000,0.0604772702007089,0.102819990036472,0.112375906660534,0.112342731297765,0.121796966042029,0.163874254917217,0.121174,73.49
"tested_140|registered","size_sensitivity","pooled_M2_logHR",10000,0.0608661547885557,0.108127484333437,0.117870021625112,0.11794535116334,0.127583958266265,0.16805384598381,0.122869,63.94
"tested_140|registered","size_sensitivity","pooled_attenuation_total",10000,-0.00974726874373435,0.0110860991580787,0.0154301116709136,0.0153026858642507,0.0197469891290852,0.0371146554160866,-0.024766,0
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","pooled_M1_logHR",1000,0.0953495698890738,0.119968270183018,0.127263351013009,0.127563265909606,0.135024318676109,0.158608672090229,0.121174,27.9
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","pooled_M2_logHR",1000,0.105109435252075,0.126852179523571,0.134669632752286,0.134515099935372,0.14220330643295,0.165810873437153,0.122869,14.5
"tested_140|EXPLORATORY_POSTHOC","exploratory_posthoc","pooled_attenuation_total",1000,-0.036531085577831,-0.0141192638569497,-0.0092830601115205,-0.00960133203038422,-0.00532237722950074,0.00967494489771397,-0.024766,1.2
