"cohort","n","n_CMS4","r_point_biserial","mean_score_CMS4","mean_score_other","r2_score_on_cms"
"TCGA-COAD",455,125,0.4054,0.658,-0.2492,0.2861
"TCGA-READ",165,54,0.4399,0.6288,-0.3059,0.2381
