"draw","pooled_M1_logHR"
1,0.13703855404676
2,0.104111638063689
3,0.128391255057214
4,0.130982061420931
5,0.112303546951462
6,0.127535405935975
7,0.123701467601508
8,0.118301175299007
9,0.111032533306741
10,0.11224591177674
11,0.138215959420496
12,0.121457780210045
13,0.101845096617766
14,0.111412266529156
15,0.0874597342362332
16,0.102075449235533
17,0.112029984047445
18,0.102908603752053
19,0.143832943836502
20,0.111564476669464
21,0.12050329231869
22,0.12047375997466
23,0.0889901692560363
24,0.106340096009169
25,0.134023257002888
26,0.119101321225668
27,0.105223804283002
28,0.111656640348051
29,0.10044156872692
30,0.107644421018544
31,0.11730985805051
32,0.117332176642977
33,0.131547998856195
34,0.1102909079784
35,0.121435186754793
36,0.136079334771248
37,0.115613365651276
38,0.113103318770803
39,0.1308618026544
40,0.13012284691153
41,0.114882610559346
42,0.134895156795252
43,0.119743522591071
44,0.123788449237371
45,0.118643708567716
46,0.144183307119857
47,0.110584369052056
48,0.103981247258906
49,0.125593682990986
50,0.094760364113309
51,0.125061950083809
52,0.11496938558533
53,0.115409806446826
54,0.118250045145208
55,0.129225821266594
56,0.110860382246274
57,0.121725894324859
58,0.110724043997869
59,0.130081738918836
60,0.116974128039675
61,0.112642889315124
62,0.124980825234021
63,0.0902227834040826
64,0.125981591790097
65,0.115526993179905
66,0.124067596044847
67,0.112369834291943
68,0.114772048138137
69,0.0944923141181991
70,0.107286683956389
71,0.0926719635157721
72,0.0855211830997241
73,0.143031529817166
74,0.149471150517004
75,0.110949624076927
76,0.094801231033637
77,0.122727348149968
78,0.114254603199762
79,0.117138420257098
80,0.109128327264243
81,0.11711323839919
82,0.134529437433172
83,0.131694813880852
84,0.115615361744977
85,0.0997541530212063
86,0.132131622578679
87,0.117629742133715
88,0.117278886453761
89,0.112204063169363
90,0.0937732260258976
91,0.13933856121369
92,0.123828430050759
93,0.125630493760947
94,0.146064255516971
95,0.101416212280524
96,0.137095595129826
97,0.133029749065468
98,0.124697869755966
99,0.101281265346044
100,0.109208811691557
101,0.128476117771167
102,0.0976603157193501
103,0.109440786409187
104,0.125880409444079
105,0.110802813942869
106,0.103226964118885
107,0.119793188560251
108,0.111240874540541
109,0.109772797921809
110,0.129197504103364
111,0.109543631223483
112,0.118583281000275
113,0.138529363633496
114,0.0978600139782609
115,0.117528067263016
116,0.135489391301055
117,0.116205781176178
118,0.125206586232529
119,0.133889739077768
120,0.14075970570882
121,0.125759318383745
122,0.122800600078794
123,0.126687578499616
124,0.12286949423172
125,0.111028261264357
126,0.120826139903205
127,0.106123511391755
128,0.116242490469838
129,0.109998346369069
130,0.112938930671422
131,0.131339223435151
132,0.120186033073431
133,0.116599353877852
134,0.13002174389129
135,0.118494849138547
136,0.114527724535144
137,0.126206788447702
138,0.111657483943092
139,0.13081398351057
140,0.114004096902443
141,0.126967337660689
142,0.133655752053686
143,0.115709827334
144,0.143027570734923
145,0.0945262170630314
146,0.0992297109512285
