gene,origin_score,via_A_hallmark,criterion_B_human,route_human,n_independent_human,n_independent_incl_mouse,ENCODE_ChIP-seq,ReMap_ChIP-seq,Literature_ChIP-seq_human,Literature_ChIP-seq_mouse,TRRUST_v2_curated
AIG1,False,False,True,B_only,2,3,True,False,True,True,False
AIMP2,False,False,True,B_only,2,2,True,False,True,False,False
AKAP12,False,False,True,B_only,2,2,False,False,True,False,True
AKIRIN1,False,False,True,B_only,2,2,True,False,True,False,False
AKT1S1,False,False,True,B_only,2,2,True,True,False,False,False
ALCAM,False,False,True,B_only,2,3,False,True,True,True,False
ALDH16A1,False,False,True,B_only,2,2,True,True,False,False,False
ALG10,False,False,True,B_only,2,2,True,False,True,False,False
ALG14,False,False,True,B_only,2,3,True,False,True,True,False
ALKBH3,False,False,True,B_only,2,2,True,False,True,False,False
ALOXE3,False,False,True,B_only,2,2,True,True,False,False,False
AMD1,False,False,True,B_only,2,2,True,False,True,False,False
AMIGO2,False,False,True,B_only,2,2,True,False,True,False,False
AMPD3,False,False,True,B_only,2,3,False,True,True,True,False
ANK2,False,False,True,B_only,2,2,True,False,True,False,False
ANKHD1-EIF4EBP3,False,False,True,B_only,2,2,True,False,True,False,False
ANKRD13C,False,False,True,B_only,2,2,True,False,True,False,False
ANKRD17,False,False,True,B_only,2,3,True,False,True,True,False
ANO8,False,False,True,B_only,2,2,True,True,False,False,False
ANXA1,False,False,True,B_only,3,3,True,True,True,False,False
ANXA4,False,False,True,B_only,2,3,True,False,True,True,False
AP2B1,False,False,True,B_only,2,2,True,False,True,False,False
AP4E1,False,False,True,B_only,2,2,True,False,True,False,False
AP5M1,False,False,True,B_only,2,2,True,False,True,False,False
APBA3,False,False,True,B_only,2,2,True,True,False,False,False
APBB2,False,False,True,B_only,2,3,True,False,True,True,False
API5,False,False,True,B_only,2,3,True,False,True,True,False
APTX,False,False,True,B_only,2,2,True,False,True,False,False
ARFRP1,False,False,True,B_only,2,2,True,True,False,False,False
ARGLU1,False,False,True,B_only,2,2,True,False,True,False,False
ARHGAP11B,False,False,True,B_only,2,2,True,False,True,False,False
ARHGAP15,False,False,True,B_only,2,3,True,False,True,True,False
ARHGAP18,False,False,True,B_only,2,2,True,False,True,False,False
