gene,origin_score,via_A_hallmark,criterion_B_human,route_human,n_independent_human,n_independent_incl_mouse,ENCODE_ChIP-seq,ReMap_ChIP-seq,Literature_ChIP-seq_human,Literature_ChIP-seq_mouse,TRRUST_v2_curated
FIZ1,False,False,True,B_only,2,2,True,True,False,False,False
FLAD1,False,False,True,B_only,3,3,True,True,True,False,False
FLRT2,False,False,True,B_only,2,2,True,False,True,False,False
FLT3LG,False,False,True,B_only,2,2,True,True,False,False,False
FNTA,False,False,True,B_only,2,2,True,False,True,False,False
FOS,False,False,True,B_only,3,4,True,True,False,True,True
FOSB,False,False,True,B_only,3,3,True,True,True,False,False
FOSL1,False,False,True,B_only,2,2,True,True,False,False,False
FOXP1,False,False,True,B_only,2,2,True,False,True,False,False
FPGS,False,False,True,B_only,2,2,True,True,False,False,False
FRG1,False,False,True,B_only,2,2,True,False,True,False,False
FRMD8,False,False,True,B_only,2,3,True,True,False,True,False
FSIP1,False,False,True,B_only,2,2,True,False,True,False,False
FTH1,False,False,True,B_only,2,3,True,True,False,True,False
FTO,False,False,True,B_only,2,3,True,False,True,True,False
FUBP3,False,False,True,B_only,2,2,True,False,True,False,False
FUCA1,False,False,True,B_only,2,2,True,False,True,False,False
G0S2,False,False,True,B_only,2,3,True,True,False,True,False
GABPA,False,False,True,B_only,2,2,True,False,True,False,False
GAD1,False,False,True,B_only,2,3,True,False,True,True,False
GADD45A,False,False,True,B_only,2,3,True,True,False,True,False
GADD45B,False,False,True,B_only,3,3,True,True,True,False,False
GALK1,False,False,True,B_only,2,2,True,True,False,False,False
GALNT15,False,False,True,B_only,2,2,True,False,True,False,False
GAN,False,False,True,B_only,2,2,True,False,True,False,False
GART,False,False,True,B_only,2,2,True,False,True,False,False
GBE1,False,False,True,B_only,2,3,True,False,True,True,False
GBP2,False,False,True,B_only,2,3,True,False,True,True,False
GCKR,False,False,True,B_only,2,3,True,False,True,True,False
GCLC,False,False,True,B_only,2,2,True,False,True,False,False
GFAP,False,False,True,B_only,3,3,True,True,False,False,True
GFM2,False,False,True,B_only,2,2,True,False,True,False,False
GGA1,False,False,True,B_only,2,2,True,True,False,False,False
GJC2,False,False,True,B_only,2,2,False,True,True,False,False
GLRX,False,False,True,B_only,2,3,True,True,False,True,False
GLS,False,False,True,B_only,2,3,True,False,True,True,False
GLYCTK,False,False,True,B_only,2,2,True,False,True,False,False
GMPR2,False,False,True,B_only,2,2,True,True,False,False,False
GNPDA1,False,False,True,B_only,2,3,True,False,True,True,False
GOLGA4,False,False,True,B_only,2,2,True,False,True,False,False
GPALPP1,False,False,True,B_only,2,2,True,False,True,False,False
GPATCH2,False,False,True,B_only,2,3,True,False,True,True,False
GPBP1,False,False,True,B_only,2,2,True,False,True,False,False
GPC6,False,False,True,B_only,2,3,True,False,True,True,False
GPR108,False,False,True,B_only,2,2,True,True,False,False,False
GPRC5A,False,False,True,B_only,3,4,True,True,True,True,False
GPX4,False,False,True,B_only,2,2,True,True,False,False,False
GRAMD1C,False,False,True,B_only,2,3,True,False,True,True,False
GREB1,False,False,True,B_only,2,2,True,False,False,False,True
GSDMD,False,False,True,B_only,2,2,True,True,False,False,False
GSDME,False,False,True,B_only,2,2,True,False,True,False,False
GSK3A,False,False,True,B_only,2,2,True,True,False,False,False
GSPT2,False,False,True,B_only,2,2,True,False,True,False,False
GTF2E2,False,False,True,B_only,2,2,True,False,True,False,False
GTF2F2,False,False,True,B_only,2,2,True,False,True,False,False
GTF2H1,False,False,True,B_only,2,2,True,False,True,False,False
GTPBP3,False,False,True,B_only,2,2,True,True,False,False,False
GUK1,False,False,True,B_only,2,2,True,True,False,False,False
GUSB,False,False,True,B_only,2,2,True,False,True,False,False
H3F3B,False,False,True,B_only,2,2,True,True,False,False,False
HADHA,False,False,True,B_only,2,3,True,False,True,True,False
HBS1L,False,False,True,B_only,2,3,True,False,True,True,False
HCFC1R1,False,False,True,B_only,2,2,True,True,False,False,False
HDAC7,False,False,True,B_only,2,2,True,True,False,False,False
HDLBP,False,False,True,B_only,2,2,True,False,True,False,False
HEATR3,False,False,True,B_only,2,2,True,False,True,False,False
HES1,False,False,True,B_only,3,3,True,True,True,False,False
HEXA,False,False,True,B_only,2,2,True,False,True,False,False
HIBADH,False,False,True,B_only,2,2,True,False,True,False,False
HIBCH,False,False,True,B_only,2,3,True,False,True,True,False
HINT3,False,False,True,B_only,2,2,True,True,False,False,False
HIPK3,False,False,True,B_only,2,2,True,False,True,False,False
HIST1H1A,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H1C,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H1D,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H1E,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H1T,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AB,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AC,False,False,True,B_only,2,3,True,True,False,True,False
HIST1H2AD,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AE,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AG,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AH,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AK,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AL,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2AM,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BC,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BD,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BF,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BG,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BJ,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BK,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BN,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H2BO,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H3A,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H3B,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H3D,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H3J,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4A,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4B,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4D,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4E,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4F,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4H,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4I,False,False,True,B_only,2,2,True,True,False,False,False
HIST1H4L,False,False,True,B_only,2,2,True,True,False,False,False
HM13,False,False,True,B_only,2,3,True,False,True,True,False
HMBOX1,False,False,True,B_only,2,2,True,False,True,False,False
HMBS,False,False,True,B_only,2,2,True,True,False,False,False
HMGCR,False,False,True,B_only,2,2,True,False,True,False,False
HMGN4,False,False,True,B_only,2,2,True,True,False,False,False
HMGXB4,False,False,True,B_only,2,2,True,False,True,False,False
HNRNPLL,False,False,True,B_only,2,3,True,False,True,True,False
HOPX,False,False,True,B_only,2,2,True,False,True,False,False
HOTAIRM1,False,False,True,B_only,2,2,True,True,False,False,False
HOXA4,False,False,True,B_only,2,2,True,True,False,False,False
HOXA5,False,False,True,B_only,2,2,True,True,False,False,False
HOXA6,False,False,True,B_only,2,2,False,True,True,False,False
HOXC4,False,False,True,B_only,2,2,True,True,False,False,False
HPS3,False,False,True,B_only,2,3,True,False,True,True,False
HSD11B1,False,False,True,B_only,2,2,False,True,True,False,False
HSD17B12,False,False,True,B_only,2,2,True,False,True,False,False
HSP90AB1,False,False,True,B_only,2,2,True,True,False,False,False
HSPA4,False,False,True,B_only,2,3,False,False,True,True,True
HSPA4L,False,False,True,B_only,2,3,True,False,True,True,False
HSPB1,False,False,True,B_only,3,4,True,True,False,True,True
HSPB3,False,False,True,B_only,2,2,True,False,True,False,False
HTR1D,False,False,True,B_only,2,2,True,False,True,False,False
HTR7,False,False,True,B_only,2,2,True,False,True,False,False
HUWE1,False,False,True,B_only,2,2,True,False,True,False,False
IARS2,False,False,True,B_only,2,2,True,False,True,False,False
ICAM1,False,False,True,B_only,3,4,True,True,False,True,True
ID1,False,False,True,B_only,2,3,True,True,False,True,False
ID2,False,False,True,B_only,2,3,True,False,True,True,False
ID3,False,False,True,B_only,2,3,True,True,False,True,False
IDS,False,False,True,B_only,2,2,True,False,True,False,False
IER2,False,False,True,B_only,2,3,True,True,False,True,False
IER3,False,False,True,B_only,2,2,True,True,False,False,False
IER5,False,False,True,B_only,2,3,True,True,False,True,False
IFI30,False,False,True,B_only,2,2,True,True,False,False,False
IFITM1,False,False,True,B_only,2,3,True,False,True,True,False
IFITM3,False,False,True,B_only,2,2,True,True,False,False,False
IFT122,False,False,True,B_only,2,2,True,False,True,False,False
IGFL4,False,False,True,B_only,2,2,True,False,True,False,False
IGFLR1,False,False,True,B_only,2,2,True,True,False,False,False
IKBKE,False,False,True,B_only,3,3,True,False,True,False,True
IL1RAP,False,False,True,B_only,2,2,True,False,True,False,False
IL20,False,False,True,B_only,2,2,True,True,False,False,False
IL21R,False,False,True,B_only,2,3,True,False,True,True,False
IL23R,False,False,True,B_only,2,2,True,False,True,False,False
IL24,False,False,True,B_only,2,3,True,True,False,True,False
IL31RA,False,False,True,B_only,2,2,True,False,True,False,False
IMMT,False,False,True,B_only,2,2,True,False,True,False,False
IMP3,False,False,True,B_only,2,2,True,True,False,False,False
IMPAD1,False,False,True,B_only,2,2,True,False,True,False,False
INAFM1,False,False,True,B_only,2,2,True,True,False,False,False
INO80,False,False,True,B_only,2,3,True,False,True,True,False
INO80B,False,False,True,B_only,2,2,True,True,False,False,False
INO80B-WBP1,False,False,True,B_only,2,2,True,True,False,False,False
INO80C,False,False,True,B_only,2,2,True,False,True,False,False
INPP5B,False,False,True,B_only,2,2,True,False,True,False,False
INSL4,False,False,True,B_only,2,2,True,False,True,False,False
INTS7,False,False,True,B_only,2,2,True,False,True,False,False
INTS9,False,False,True,B_only,2,3,True,False,True,True,False
IP6K1,False,False,True,B_only,2,2,True,False,True,False,False
IPO4,False,False,True,B_only,2,2,True,True,False,False,False
IQCB1,False,False,True,B_only,2,2,True,False,True,False,False
IQCH,False,False,True,B_only,2,2,True,False,True,False,False
IQCN,False,False,True,B_only,2,2,False,True,True,False,False
IRF2BP1,False,False,True,B_only,2,2,True,True,False,False,False
IRF2BP2,False,False,True,B_only,2,3,True,True,False,True,False
IRF2BPL,False,False,True,B_only,2,2,True,True,False,False,False
IRF3,False,False,True,B_only,2,2,True,True,False,False,False
IRF6,False,False,True,B_only,3,3,True,True,True,False,False
ISG20,False,False,True,B_only,2,3,True,True,False,True,False
ITGA2,False,False,True,B_only,2,2,True,False,True,False,False
ITGA3,False,False,True,B_only,2,3,False,True,True,True,False
ITGA6,False,False,True,B_only,2,3,False,True,True,True,False
ITGB2,False,False,True,B_only,2,2,True,True,False,False,False
ITPKC,False,False,True,B_only,2,2,True,True,False,False,False
ITPR1,False,False,True,B_only,2,2,True,False,True,False,False
ITPR2,False,False,True,B_only,2,2,True,False,True,False,False
JADE2,False,False,True,B_only,2,3,True,True,False,True,False
JAK2,False,False,True,B_only,3,4,True,False,True,True,True
JAK3,False,False,True,B_only,2,3,True,True,False,True,False
JMJD8,False,False,True,B_only,2,2,True,True,False,False,False
JMY,False,False,True,B_only,2,2,True,False,True,False,False
JUNB,False,False,True,B_only,3,3,True,True,False,False,True
JUP,False,False,True,B_only,2,2,False,True,True,False,False
KCNJ16,False,False,True,B_only,2,2,True,False,True,False,False
KCNK15,False,False,True,B_only,2,2,True,False,True,False,False
KCNN4,False,False,True,B_only,2,2,True,True,False,False,False
KDELR1,False,False,True,B_only,2,2,True,False,True,False,False
KDM5B,False,False,True,B_only,2,3,True,False,True,True,False
KIAA0895L,False,False,True,B_only,2,2,True,True,False,False,False
KIAA1147,False,False,True,B_only,2,2,True,False,True,False,False
KIAA1328,False,False,True,B_only,2,2,True,False,True,False,False
KIF15,False,False,True,B_only,2,2,True,False,True,False,False
KIF18A,False,False,True,B_only,2,2,True,False,True,False,False
KIF1B,False,False,True,B_only,2,3,True,False,True,True,False
KIF2C,False,False,True,B_only,2,2,True,True,False,False,False
KLF6,False,False,True,B_only,2,3,True,True,False,True,False
KLF9,False,False,True,B_only,2,3,True,True,False,True,False
KLHDC4,False,False,True,B_only,2,2,True,True,False,False,False
KLHL32,False,False,True,B_only,2,2,True,False,True,False,False
KLHL7,False,False,True,B_only,2,2,True,False,True,False,False
KMT2E,False,False,True,B_only,2,3,False,True,True,True,False
KPNA4,False,False,True,B_only,2,3,True,False,True,True,False
KPNB1,False,False,True,B_only,2,3,True,False,True,True,False
KRR1,False,False,True,B_only,2,3,True,False,True,True,False
KRT17,False,False,True,B_only,2,2,True,False,False,False,True
KRT6A,False,False,True,B_only,2,2,True,True,False,False,False
KRT7,False,False,True,B_only,2,2,True,True,False,False,False
KRT8,False,False,True,B_only,2,3,True,False,True,True,False
KRT80,False,False,True,B_only,2,2,True,True,False,False,False
KRTCAP2,False,False,True,B_only,2,2,True,True,False,False,False
KYNU,False,False,True,B_only,2,3,True,True,False,True,False
LAMA5,False,False,True,B_only,2,3,True,True,False,True,False
LAMB3,False,False,True,B_only,2,2,True,True,False,False,False
LAPTM4A,False,False,True,B_only,2,3,True,False,True,True,False
LAPTM5,False,False,True,B_only,2,2,True,True,False,False,False
LASP1,False,False,True,B_only,2,2,True,False,True,False,False
LATS1,False,False,True,B_only,2,2,True,False,True,False,False
LBH,False,False,True,B_only,2,2,True,False,True,False,False
LCA5,False,False,True,B_only,2,2,True,False,True,False,False
LDLR,False,False,True,B_only,2,3,True,True,False,True,False
LEKR1,False,False,True,B_only,2,3,True,False,True,True,False
LEP,False,False,True,B_only,2,3,False,False,True,True,True
LGALS3,False,False,True,B_only,2,2,True,True,False,False,False
LGALS3BP,False,False,True,B_only,3,3,True,False,True,False,True
LHX2,False,False,True,B_only,2,3,True,False,True,True,False
LIAS,False,False,True,B_only,2,2,True,False,True,False,False
LIMCH1,False,False,True,B_only,2,2,True,False,True,False,False
LIN37,False,False,True,B_only,2,2,True,True,False,False,False
LINC00324,False,False,True,B_only,2,2,True,True,False,False,False
LINC01137,False,False,True,B_only,2,2,True,True,False,False,False
LINS1,False,False,True,B_only,2,2,True,False,True,False,False
LIPG,False,False,True,B_only,2,3,True,False,True,True,False
LMBRD2,False,False,True,B_only,2,2,True,False,True,False,False
LNPEP,False,False,True,B_only,2,2,True,True,False,False,False
LNX2,False,False,True,B_only,2,2,True,False,True,False,False
LONP2,False,False,True,B_only,2,2,True,False,True,False,False
LPP,False,False,True,B_only,2,3,True,False,True,True,False
LRGUK,False,False,True,B_only,2,2,True,False,True,False,False
LRP10,False,False,True,B_only,2,2,True,True,False,False,False
LRP11,False,False,True,B_only,2,2,False,True,True,False,False
LRP1B,False,False,True,B_only,2,3,True,False,True,True,False
LRPPRC,False,False,True,B_only,2,3,True,False,True,True,False
LRRC29,False,False,True,B_only,2,2,True,True,False,False,False
LRRC8B,False,False,True,B_only,2,3,True,False,True,True,False
LRRFIP2,False,False,True,B_only,2,2,True,False,True,False,False
LSG1,False,False,True,B_only,2,2,True,True,False,False,False
LSM6,False,False,True,B_only,2,3,True,False,True,True,False
LTB4R2,False,False,True,B_only,2,2,True,True,False,False,False
LTBP1,False,False,True,B_only,2,3,False,False,True,True,True
LTBP3,False,False,True,B_only,2,2,True,True,False,False,False
LUC7L2,False,False,True,B_only,2,2,True,False,True,False,False
LUZP6,False,False,True,B_only,2,2,True,False,True,False,False
LY6E-DT,False,False,True,B_only,2,2,True,False,True,False,False
LYL1,False,False,True,B_only,2,2,True,True,False,False,False
LYPLAL1,False,False,True,B_only,2,2,True,False,True,False,False
LYRM1,False,False,True,B_only,2,3,True,True,False,True,False
MAML2,False,False,True,B_only,2,3,True,False,True,True,False
MAN1A1,False,False,True,B_only,2,2,True,False,True,False,False
MAN2A1,False,False,True,B_only,2,3,True,False,True,True,False
MAP2K3,False,False,True,B_only,2,2,True,True,False,False,False
MAP3K11,False,False,True,B_only,2,2,True,True,False,False,False
MAPK14,False,False,True,B_only,2,3,True,False,True,True,False
MAPK3,False,False,True,B_only,2,2,True,False,True,False,False
MARK3,False,False,True,B_only,2,2,True,False,True,False,False
MAST2,False,False,True,B_only,2,3,True,False,True,True,False
MAT2A,False,False,True,B_only,2,3,True,True,False,True,False
MAT2B,False,False,True,B_only,2,2,True,False,True,False,False
MAX,False,False,True,B_only,2,2,True,False,True,False,False
MBD2,False,False,True,B_only,2,2,True,False,True,False,False
MBNL1-AS1,False,False,True,B_only,2,2,True,True,False,False,False
MCAT,False,False,True,B_only,2,2,True,False,True,False,False
MCC,False,False,True,B_only,2,2,True,False,True,False,False
MCFD2,False,False,True,B_only,3,3,True,True,True,False,False
MCL1,False,False,True,B_only,3,4,True,True,False,True,True
MCM2,False,False,True,B_only,2,3,True,False,True,True,False
MCPH1,False,False,True,B_only,2,2,True,False,True,False,False
MCRIP2,False,False,True,B_only,2,2,True,True,False,False,False
MDC1,False,False,True,B_only,2,3,True,False,False,True,True
MDM4,False,False,True,B_only,3,4,True,True,True,True,False
MDP1,False,False,True,B_only,2,2,True,True,False,False,False
MED1,False,False,True,B_only,2,2,True,False,True,False,False
MED16,False,False,True,B_only,2,2,True,True,False,False,False
MED18,False,False,True,B_only,2,3,True,False,True,True,False
MED25,False,False,True,B_only,2,2,True,True,False,False,False
MED27,False,False,True,B_only,2,2,True,False,True,False,False
MED29,False,False,True,B_only,2,2,True,True,False,False,False
MED30,False,False,True,B_only,2,2,True,False,True,False,False
MED4,False,False,True,B_only,2,3,True,False,True,True,False
MEFV,False,False,True,B_only,2,2,True,True,False,False,False
MEMO1,False,False,True,B_only,2,2,True,False,True,False,False
MEPCE,False,False,True,B_only,2,2,True,True,False,False,False
MET,False,False,True,B_only,2,2,True,True,False,False,False
METTL2A,False,False,True,B_only,2,2,True,False,True,False,False
METTL2B,False,False,True,B_only,2,2,True,False,True,False,False
MFAP5,False,False,True,B_only,2,3,True,False,True,True,False
MFSD1,False,False,True,B_only,2,2,True,False,True,False,False
MGST1,False,False,True,B_only,2,2,True,False,True,False,False
MIA2,False,False,True,B_only,2,2,True,False,True,False,False
MIAT,False,False,True,B_only,2,3,True,False,True,True,False
MIEN1,False,False,True,B_only,2,2,True,True,False,False,False
MIER1,False,False,True,B_only,2,2,True,False,True,False,False
MIR141,False,False,True,B_only,2,2,True,True,False,False,False
MIR1914,False,False,True,B_only,2,2,True,True,False,False,False
MIR200C,False,False,True,B_only,2,2,True,True,False,False,False
MIR205HG,False,False,True,B_only,2,2,True,True,False,False,False
MIR21,False,False,True,B_only,2,2,True,True,False,False,False
MIR2117,False,False,True,B_only,2,2,True,True,False,False,False
MIR3143,False,False,True,B_only,2,2,True,True,False,False,False
MIR3175,False,False,True,B_only,2,2,True,True,False,False,False
MIR3193,False,False,True,B_only,2,2,True,True,False,False,False
MIR330,False,False,True,B_only,2,2,True,True,False,False,False
MIR3936,False,False,True,B_only,2,2,True,True,False,False,False
MIR3945,False,False,True,B_only,2,2,True,True,False,False,False
MIR4257,False,False,True,B_only,2,2,True,True,False,False,False
MIR4258,False,False,True,B_only,2,2,True,True,False,False,False
MIR4492,False,False,True,B_only,2,2,True,True,False,False,False
MIR4505,False,False,True,B_only,2,2,True,True,False,False,False
MIR4645,False,False,True,B_only,2,2,True,True,False,False,False
MIR4669,False,False,True,B_only,2,2,True,True,False,False,False
MIR4736,False,False,True,B_only,2,2,True,True,False,False,False
MIR4738,False,False,True,B_only,2,2,True,True,False,False,False
MIR647,False,False,True,B_only,2,2,True,True,False,False,False
MIR92B,False,False,True,B_only,2,2,True,True,False,False,False
MIRLET7BHG,False,False,True,B_only,2,2,True,True,False,False,False
MMADHC,False,False,True,B_only,2,2,True,False,True,False,False
MMP1,False,False,True,B_only,2,2,True,False,False,False,True
MMP7,False,False,True,B_only,2,2,True,False,False,False,True
MNAT1,False,False,True,B_only,2,2,True,False,True,False,False
MOB2,False,False,True,B_only,2,2,True,False,True,False,False
MOB3A,False,False,True,B_only,2,3,True,True,False,True,False
MOCOS,False,False,True,B_only,2,2,True,True,False,False,False
MON2,False,False,True,B_only,2,2,True,False,True,False,False
MPDU1,False,False,True,B_only,2,2,True,True,False,False,False
MPZL2,False,False,True,B_only,2,2,True,True,False,False,False
MRM1,False,False,True,B_only,2,2,True,False,True,False,False
MRPL21,False,False,True,B_only,2,2,True,False,True,False,False
MRPL24,False,False,True,B_only,2,2,True,True,False,False,False
MRPL3,False,False,True,B_only,2,2,True,False,True,False,False
MRPL34,False,False,True,B_only,2,2,True,True,False,False,False
MRPL36,False,False,True,B_only,2,2,True,True,False,False,False
MRPL38,False,False,True,B_only,3,3,True,True,True,False,False
MRPL49,False,False,True,B_only,2,2,True,True,False,False,False
MRPL54,False,False,True,B_only,2,2,True,True,False,False,False
MRPL55,False,False,True,B_only,2,2,True,True,False,False,False
MRPS23,False,False,True,B_only,2,2,True,False,True,False,False
MRPS27,False,False,True,B_only,2,2,True,False,True,False,False
MRPS30,False,False,True,B_only,2,2,True,False,True,False,False
MRTFA,False,False,True,B_only,2,2,True,False,True,False,False
MSLN,False,False,True,B_only,2,2,True,True,False,False,False
MSRA,False,False,True,B_only,2,3,True,False,True,True,False
MST1L,False,False,True,B_only,2,2,True,False,True,False,False
MT1E,False,False,True,B_only,2,2,True,True,False,False,False
MT2A,False,False,True,B_only,2,3,True,True,False,True,False
MTA2,False,False,True,B_only,2,3,True,True,False,True,False
MTHFD1L,False,False,True,B_only,2,3,True,False,True,True,False
MTIF3,False,False,True,B_only,2,2,True,False,True,False,False
MTMR2,False,False,True,B_only,2,3,True,False,True,True,False
MTX1,False,False,True,B_only,2,3,True,True,False,True,False
MUC1,False,False,True,B_only,3,4,True,True,False,True,True
MUS81,False,False,True,B_only,2,2,True,True,False,False,False
MVP,False,False,True,B_only,2,2,True,True,False,False,False
MXI1,False,False,True,B_only,2,2,True,True,False,False,False
MYO10,False,False,True,B_only,2,3,True,False,True,True,False
MYO1G,False,False,True,B_only,2,3,True,True,False,True,False
MYOF,False,False,True,B_only,3,4,True,True,True,True,False
N4BP1,False,False,True,B_only,2,3,True,False,True,True,False
NAA30,False,False,True,B_only,2,3,True,False,True,True,False
NABP1,False,False,True,B_only,3,4,True,True,True,True,False
NAGA,False,False,True,B_only,2,2,True,False,True,False,False
NAMPT,False,False,True,B_only,2,3,True,False,True,True,False
NAPA,False,False,True,B_only,2,2,True,False,True,False,False
NARF,False,False,True,B_only,2,2,True,True,False,False,False
NBN,False,False,True,B_only,2,2,True,False,True,False,False
NBPF1,False,False,True,B_only,2,2,True,False,True,False,False
NCAPG,False,False,True,B_only,2,2,True,False,True,False,False
NCAPG2,False,False,True,B_only,2,2,True,False,True,False,False
NCAPH2,False,False,True,B_only,2,2,True,True,False,False,False
NDC1,False,False,True,B_only,2,2,True,False,True,False,False
NDFIP1,False,False,True,B_only,2,3,True,False,True,True,False
NDRG1,False,False,True,B_only,2,2,True,True,False,False,False
NDUFS3,False,False,True,B_only,2,2,True,False,True,False,False
NDUFS4,False,False,True,B_only,2,3,True,False,True,True,False
NDUFS6,False,False,True,B_only,2,2,True,True,False,False,False
NEDD8,False,False,True,B_only,2,2,True,True,False,False,False
NEDD8-MDP1,False,False,True,B_only,2,2,True,True,False,False,False
NEIL3,False,False,True,B_only,2,2,True,False,True,False,False
NEK10,False,False,True,B_only,2,2,True,False,True,False,False
NEK11,False,False,True,B_only,2,2,True,False,True,False,False
NEK8,False,False,True,B_only,2,2,True,True,False,False,False
NELFB,False,False,True,B_only,2,2,False,True,True,False,False
NF1,False,False,True,B_only,2,3,True,False,True,True,False
NFAT5,False,False,True,B_only,2,3,True,False,True,True,False
NFE2L1,False,False,True,B_only,2,2,True,True,False,False,False
NFIA,False,False,True,B_only,2,3,True,False,True,True,False
NFIL3,False,False,True,B_only,2,3,True,True,False,True,False
NFKB2,False,False,True,B_only,2,2,True,True,False,False,False
NFKBIA,False,False,True,B_only,2,3,True,True,False,True,False
NFKBIB,False,False,True,B_only,2,2,True,False,True,False,False
NFKBIE,False,False,True,B_only,2,3,True,True,False,True,False
NKTR,False,False,True,B_only,2,2,True,False,True,False,False
NLGN1,False,False,True,B_only,2,3,True,False,True,True,False
NME1,False,False,True,B_only,2,3,True,False,False,True,True
NMI,False,False,True,B_only,2,3,True,False,True,True,False
NMT1,False,False,True,B_only,2,2,True,False,True,False,False
NOL10,False,False,True,B_only,2,3,True,False,True,True,False
NOL11,False,False,True,B_only,2,3,True,False,True,True,False
NOL3,False,False,True,B_only,2,2,True,True,False,False,False
NOP53,False,False,True,B_only,2,2,True,True,False,False,False
NOSIP,False,False,True,B_only,2,2,True,True,False,False,False
NPVF,False,False,True,B_only,2,3,True,False,True,True,False
NQO2,False,False,True,B_only,2,2,True,True,False,False,False
NR1D1,False,False,True,B_only,2,2,True,True,False,False,False
NR2F1,False,False,True,B_only,2,3,True,False,True,True,False
NR4A2,False,False,True,B_only,2,3,False,True,True,True,False
NR6A1,False,False,True,B_only,2,2,True,False,True,False,False
NRSN2,False,False,True,B_only,2,2,True,True,False,False,False
NUAK2,False,False,True,B_only,2,2,True,True,False,False,False
NUCB1,False,False,True,B_only,2,2,True,True,False,False,False
NUDT22,False,False,True,B_only,2,2,True,True,False,False,False
NUP133,False,False,True,B_only,2,2,True,False,True,False,False
NUP214,False,False,True,B_only,2,3,True,False,True,True,False
NUP35,False,False,True,B_only,2,2,True,False,True,False,False
NUP98,False,False,True,B_only,2,2,True,False,True,False,False
OAS1,False,False,True,B_only,2,2,True,False,False,False,True
OAZ1,False,False,True,B_only,2,2,True,True,False,False,False
OCIAD1,False,False,True,B_only,2,2,True,False,True,False,False
ODC1,False,False,True,B_only,2,3,True,True,False,True,False
OMA1,False,False,True,B_only,2,2,True,False,True,False,False
OPA1,False,False,True,B_only,2,3,True,False,True,True,False
OPLAH,False,False,True,B_only,2,3,True,True,False,True,False
OPRM1,False,False,True,B_only,2,2,False,False,True,False,True
OR5A2,False,False,True,B_only,2,2,True,False,True,False,False
OR9K2,False,False,True,B_only,2,2,True,False,True,False,False
ORC1,False,False,True,B_only,2,2,True,False,True,False,False
ORC4,False,False,True,B_only,2,3,True,False,True,True,False
ORMDL1,False,False,True,B_only,2,2,True,False,True,False,False
OTUD3,False,False,True,B_only,2,3,True,False,True,True,False
OXSM,False,False,True,B_only,2,3,True,False,True,True,False
P4HB,False,False,True,B_only,2,2,True,True,False,False,False
PA2G4,False,False,True,B_only,2,2,True,True,False,False,False
PACRGL,False,False,True,B_only,2,2,True,False,True,False,False
PAF1,False,False,True,B_only,2,2,True,True,False,False,False
PAPPA,False,False,True,B_only,2,3,True,False,True,True,False
PAPSS2,False,False,True,B_only,2,2,True,False,True,False,False
PARN,False,False,True,B_only,2,2,True,False,True,False,False
PARP14,False,False,True,B_only,2,3,True,False,True,True,False
PAX3,False,False,True,B_only,2,3,False,False,True,True,True
PBXIP1,False,False,True,B_only,2,3,True,True,False,True,False
PCCA,False,False,True,B_only,2,2,True,False,True,False,False
PCDH9,False,False,True,B_only,2,3,True,False,True,True,False
PCGEM1,False,False,True,B_only,2,2,True,False,True,False,False
PCNX3,False,False,True,B_only,2,3,True,True,False,True,False
PDCD1LG2,False,False,True,B_only,2,3,True,False,True,True,False
PDE12,False,False,True,B_only,2,2,True,False,True,False,False
PDE3A,False,False,True,B_only,2,2,True,False,True,False,False
PDE4A,False,False,True,B_only,2,2,True,True,False,False,False
PDE4DIP,False,False,True,B_only,2,2,True,False,True,False,False
PDE6A,False,False,True,B_only,2,2,False,True,True,False,False
